#Filename  optimal_apeture
16_Mark_30_00_R_25.00_2024_05_01-21_03_57.fits   5.0
16_Mark_30_01_R_25.00_2024_05_01-21_04_32.fits   5.5
16_Mark_30_02_R_25.00_2024_05_01-21_05_07.fits   5.0
16_Mark_30_03_R_25.00_2024_05_01-21_05_42.fits   6.0
16_Mark_30_04_R_25.00_2024_05_01-21_06_17.fits   6.0
16_Mark_30_05_R_25.00_2024_05_01-21_06_52.fits   6.0
16_Mark_30_06_R_25.00_2024_05_01-21_07_27.fits   5.0
16_Mark_30_07_R_25.00_2024_05_01-21_08_02.fits   4.5
16_Mark_30_08_R_25.00_2024_05_01-21_08_37.fits   6.0
16_Mark_30_09_R_25.00_2024_05_01-21_09_16.fits   6.0
16_Mark_30_10_R_25.00_2024_05_01-21_09_51.fits   6.0
16_Mark_30_11_R_25.00_2024_05_01-21_10_26.fits   5.0
#16_Mark_30_12_R_25.00_2024_05_01-21_11_01.fits   3.0
