GID,starID,RA,DEC,l,b,p,e_p,evpa,e_evpa,FilterID,origin,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,which_polygon
3954847912411842688,6940,192.4581280123384,21.64084734215838,299.0363421600204,84.50044782448948,0.0022,0.0005,71.0,6.5,0,external_panopoulou_2025,178.2153,177.5255,179.06868,178.00235,177.15442,178.77782,upper
3954879832609313792,11530,193.52082387459296,21.735052367565057,309.4416791472848,84.57333176487063,0.0026,0.0002,71.0,2.0,0,external_panopoulou_2025,203.59572,200.42853,206.89502,204.16747,200.91264,207.56853,upper
3955013182753923840,6939,191.9626130292332,21.63659745764265,294.28261420380346,84.44799778217828,0.0013,0.0003,65.0,6.6,0,external_panopoulou_2025,532.9515,526.37,541.25104,533.52496,526.26227,540.5531,upper
3955257343054729984,7001,192.57256401209543,22.863119489578537,299.381499785132,85.72695322014594,0.0003,0.0002,84.0,18.4,0,external_panopoulou_2025,112.676285,111.49111,113.74028,112.26615,111.30484,113.40327,upper
3955307027237538560,6906,189.780085588556,21.062518514831567,277.42217510514826,83.31545494705558,0.0002,0.0002,11.0,26.6,0,external_panopoulou_2025,83.44557,82.80191,84.06405,83.56941,83.01328,84.20846,upper
3955644886544145024,6952,188.78412717134947,21.88129422630378,266.8141159786105,83.5761977785214,0.0029,0.0005,-86.0,4.9,0,external_panopoulou_2025,187.37244,184.53975,190.19087,187.51265,185.06989,189.85052,upper
3955790468755645440,6990,189.758867313479,22.659412701252656,270.0809917059901,84.7204249519609,0.0003,0.00032,-42.0,28.1,0,external_panopoulou_2025,125.911064,125.60551,126.173035,125.88125,125.55108,126.2923,upper
3958719258494268288,6987,188.7125201348698,22.629307200604952,262.13593962460794,84.13646950196184,0.0002,0.00032,-63.0,38.7,0,external_panopoulou_2025,109.0274,105.9669,113.13238,108.57214,105.03369,112.72725,upper
3925246860369949824,11502,178.91893523107814,15.646827758921887,251.67112673381854,72.6973822311818,0.0032,0.0002,73.0,2.0,0,external_panopoulou_2025,129.30847,125.0434,133.9982,129.2394,124.70139,134.70421,smaller
3926601527414968704,11519,179.7685299209624,17.352018202584407,249.17727756896517,74.45105129399063,0.0008,0.0004,-34.0,12.0,0,external_panopoulou_2025,244.14001,242.95557,245.30434,245.04283,243.42667,246.31987,smaller
