Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_289,2460460.39614,0.24,0.09,30.89,12.21,0.11199999999999999,0.08099999999999999,0.208,0.093,196.73454,21.68843,3943450203080467200,403.63095,401.13034,406.49615,8.029922300446577,2.682905000000005,0.006646925861359257,0.01443361611604172
Mark_70,2460459.30005,0.27,0.04,40.5,4.11,0.042,0.06899999999999999,0.264,0.037,179.81372,16.97037,3926204363199140352,406.5582,404.32043,408.9606,8.045613624553239,2.320085000000006,0.005706649134121526,0.012391831145534741
Mark_193,2460460.37663,0.57,0.09,62.76,4.35,-0.331,0.034999999999999996,0.464,0.10200000000000001,195.53589,21.06934,3944041912135238272,410.41992,405.6786,416.53397,8.066142156914164,5.427684999999997,0.013224711412642927,0.028717095956368902
Mark_297,2460431.51647,0.11,0.09,2.85,61.44,0.11199999999999999,0.093,0.011000000000000001,0.092,199.78589,21.63083,3940624733074959360,415.60843,410.96356,421.0397,8.093421739966509,5.038070000000005,0.012122155462534782,0.026322926130761082
Mark_15,2460426.44318,0.65,0.19,80.83,9.02,-0.618,0.199,0.20500000000000002,0.116,195.18161,21.12106,3944098326529645184,425.91794,421.92624,429.44873,8.146629666427872,3.7612450000000024,0.008830914706246003,0.019176087635404574
Mark_14,2460459.34708,0.55,0.12,28.2,6.78,0.302,0.19499999999999998,0.455,0.075,190.49023,20.28698,3954447376646676096,430.2906,417.17792,444.7281,8.168809293592876,13.775090000000006,0.03201345788171995,0.06951634052336568
Mark_8,2460426.41826,0.62,0.59,-35.12,61.44,0.21,0.105,-0.584,0.622,187.88229,20.72047,3949433161243432704,431.30984,427.9475,434.6709,8.17394683175635,3.3617000000000132,0.0077941648630135895,0.01692481395525508
Mark_43,2460426.35778,0.51,0.26,-39.09,17.94,0.104,0.295,-0.494,0.258,173.3679,15.93255,3972560353245532928,432.91632,430.2104,436.08838,8.182019790377261,2.9389899999999898,0.006788817755819392,0.014741730449995896
Mark_188,2460426.38819,0.26,0.1,42.91,12.98,0.019,0.093,0.255,0.10300000000000001,172.38278,16.02621,3967368669793386112,437.9971,433.49075,442.08334,8.207356175144163,4.296295000000015,0.00980895763921728,0.02129988087967406
Mark_47,2460461.31411,0.23,0.07,40.64,9.92,0.034,0.067,0.22300000000000003,0.07200000000000001,184.61546,19.20315,3950431483441507072,438.56967,434.6754,441.89313,8.210192970187952,3.6088649999999802,0.008228715405695931,0.0178684284692301
