Name,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
Mark_70,179.81372,16.97037,3926204363199140352,406.5582,404.32043,408.9606
Mark_183,190.74332,20.88957,3954509297190984448,606.85266,599.53955,614.13794
Mark_206,199.19226,21.83499,3943645916150426880,277.60406,276.55142,278.66135
Mark_259,185.06711,18.59069,3947245682859954560,476.76694,423.62003,559.014
Mark_36,194.58836,20.00117,3942382920887888128,597.6975,590.6506,605.2365
Mark_154,197.63448,20.63803,3943075780715683840,710.23645,702.6107,718.4233
Mark_83,184.34114,19.05303,3950335344893535616,507.19623,504.16638,510.55478
Mark_127,199.97675,21.85439,1442634851362334976,283.90445,282.76242,285.23843
Mark_171,197.54263,22.04166,3943828263281804288,671.21124,663.08746,680.07275
Mark_298,185.86821,20.17248,3951968738136265344,233.77052,232.71672,234.66042
Mark_149,187.94492,18.38639,3947754103909441152,352.74768,350.15677,355.7748
Mark_188,172.38278,16.02621,3967368669793386112,437.9971,433.49075,442.08334
Mark_163,172.77328,16.05559,3973325235381575680,379.1181,375.9116,382.5002
Mark_118,195.64954,20.84596,3943279194662795648,254.33171,253.174,255.55095
Mark_150,198.06357,21.00644,3943483635105976192,266.22488,264.89703,267.44156
Mark_34,173.76079,16.01056,3972575613264978304,244.28363,242.92961,245.463
Mark_307,191.25285,19.86747,3954187758759011584,313.6527,311.43488,316.39462
Mark_92,184.13316,19.0139,3950331427883338752,393.03406,390.78525,396.18134
Mark_193,195.53589,21.06934,3944041912135238272,410.41992,405.6786,416.53397
Mark_308,173.14359,16.22173,3973353960122615168,289.0822,279.7718,297.74872
Mark_131,199.4996,21.72981,3940638747552387840,308.85336,306.91077,311.4592
Mark_41,179.99248,16.91588,3925449788984636800,574.89124,568.8893,580.6577
Mark_105,191.74118,21.92971,3955085200765500416,641.06146,626.3488,659.0996
Mark_0,194.58873,21.12631,3942609523362045312,454.57196,450.51486,458.419
Mark_189,185.06535,19.8305,3950481854817995264,222.73576,221.9401,223.68681
Mark_20,197.4529,21.41339,3943371484919989504,444.47614,440.26263,448.60117
Mark_64,185.18335,18.78271,3947354603230430080,220.85123,219.76611,221.84021
Mark_256,178.80675,16.90822,3926242743026796032,235.38434,231.30383,238.94604
Mark_9,188.00117,20.81871,3949432542768145280,947.9125,925.4183,967.5511
Mark_221_merged,196.43092,21.19197,3943398869631331456,606.43524,594.0097,618.9325
Mark_21,198.6741,20.79252,3940465510047354752,1065.2689,1047.9658,1087.1874
Mark_264,172.38141,16.22388,3967385093748323328,855.9589,840.86084,873.1501
Mark_25,190.68454,19.247,3948125670118919936,881.9911,867.5829,896.2514
Mark_69,197.53357,20.926,3943153227565962880,295.05457,293.55643,296.36578
Mark_1,194.20181,21.14241,3942777435107365632,260.7389,258.6356,262.5503
Mark_272,185.61534,18.53669,3947290792900428672,273.48398,272.2488,274.7955
Mark_99,173.92136,15.51353,3972496237974103552,8551.91,6833.0415,11207.562
Mark_12,173.47864,16.05583,3972586367863070208,365.00693,362.9022,366.6532
Mark_281,196.00069,21.20325,3943314791351751296,383.80246,373.4544,394.05066
Mark_60,184.56752,18.84387,3950281400104314752,223.95547,222.97186,224.88979
Mark_191,179.37923,16.02372,3925288573092374144,275.47177,273.26172,277.545
Mark_81,188.01074,18.02063,3947726341240852352,551.0192,543.87274,558.78485
Mark_15,195.18161,21.12106,3944098326529645184,425.91794,421.92624,429.44873
Mark_85,174.02637,15.67919,3972500189344296960,2052.424,1976.1641,2110.8467
Mark_301,195.3929,21.76202,3944154818235478272,804.72864,791.9206,817.0139
Mark_29_merged,172.79477,15.85788,3967301805742507776,720.0945,711.5065,730.0696
Mark_18,190.53494,20.30323,3954448858411184512,271.78116,270.76917,273.0127
Mark_19,192.17618,21.61724,3955014350985048448,1104.1305,1075.2445,1130.269
Mark_84,184.5835,19.01308,3950288031533824896,724.68164,715.65375,733.715
Mark_240,184.3497,19.55028,3950456531690771072,211.87555,210.84985,213.07564
