# GID   RA    DEC     l     b     RP
3954608184517810176 191.04074 21.14195 287.05514 83.78820 10.55
3949472674942983296 187.38037 20.80671 263.40194 81.93867 10.55
3955873752466117248 191.09172 22.39281 283.82918 85.00013 11.68
3950456909647893888 184.40889 19.57923 255.39491 79.18217 12.33
3944400284206764672 194.31712 22.01648 317.77893 84.71931 12.01
3943279194662795648 195.64954 20.84596 325.59927 83.22102 12.19
3940418127968198656 199.39124 20.75375 347.42840 81.27029 12.33
3944344312193056384 195.09740 21.72684 324.07277 84.22748 12.02
3947243724354865280 184.94878 18.51457 261.07207 78.72195 10.79
3950652038602110336 184.34711 19.69882 254.72583 79.22670 12.04
3951930117790328960 185.54079 19.79519 258.93705 80.06317 12.35
3925376701525135744 180.18828 16.48499 252.53790 74.15659 12.20
3955025174302592256 191.85338 21.68842 293.15999 84.48365 12.07
3941720568210913792 195.20490 20.17521 320.58600 82.72323 12.01
1442634851362334976 199.97675 21.85439 355.30181 81.65097 10.28
3941748743196409984 195.46991 20.37368 322.95272 82.83602 12.47
3944146709337248640 195.60942 21.68512 328.21869 84.00910 12.41
3949086643282157696 186.98280 20.51086 262.61108 81.47724 12.43
3942210572439278080 192.94061 19.81933 303.53189 82.69070 12.38
3940638747552387840 199.49960 21.72981 352.58711 81.89800 11.32
3943304479134361472 196.40727 21.11963 331.99618 83.17564 10.90
3942456038411098880 194.36407 20.43414 314.86541 83.16601 9.54
3956451996798251776 194.34618 22.46027 319.37517 85.14099 10.64
3955200924364384256 192.91014 22.62358 303.52733 85.49510 12.25
3941998710293077376 193.30322 19.49583 306.07849 82.35673 11.12
3954445491156824576 190.60446 20.27534 285.69863 82.84334 12.18
3955712884466457728 189.93605 22.24639 273.75757 84.44295 10.55
3955887496361216512 191.75278 22.51165 290.42081 85.27548 11.40
3952079582651946368 186.35776 20.60701 259.21035 81.17893 11.92
3950362725309458048 184.92867 18.98709 259.43224 79.07405 11.90
3948747237786475264 187.35291 19.31534 268.87136 80.69489 9.57
3942371753972868352 194.08269 20.00325 312.12571 82.78750 12.16
3943271669880088448 195.69051 20.66197 325.33646 83.03573 11.79
3955160753535062912 192.72513 22.37019 301.43446 85.24037 11.40
3947820486923894656 187.69969 18.64348 272.62657 80.27774 12.04
3954957519977686272 192.80292 22.04250 302.34054 84.91399 11.13
3942309459766630016 192.55705 20.27836 300.55468 83.14452 9.82
3947754103909441152 187.94492 18.38639 274.53781 80.15642 10.07
3943483635105976192 198.06357 21.00644 341.84571 82.25287 10.84
