Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_13,2460432.30412,0.81,0.17,9.65,6.37,0.0076,0.00169,0.00266,0.00208,174.02271,15.99841,3972526577623362560,,,,653.5371690528716,True,True
Mark_14,2460459.34708,0.55,0.12,28.2,6.78,0.00302,0.00195,0.00455,0.00075,190.49023,20.28698,3954447376646676096,284.84923,82.82366,11.8,0.0,True,True
Mark_15,2460426.44318,0.65,0.19,80.83,9.02,-0.00618,0.00199,0.00205,0.00116,195.18161,21.12106,3944098326529645184,322.85052,83.63045,11.23,0.0,True,True
Mark_16,2460426.42582,0.86,0.37,4.44,14.16,0.00851,0.00375,0.00133,0.00089,189.71344,20.96878,3955304622055819776,277.268,83.20441,12.3,0.0,True,True
Mark_17,2460459.3808,0.16,0.08,54.35,17.15,-0.00053,0.00154,0.00156,0.00069,196.81131,20.59822,3943038745213593088,332.71768,82.53816,10.55,0.0,True,True
Mark_18,2460426.42901,0.34,0.05,48.9,3.88,-0.00046,0.00066,0.00338,0.00045,190.53494,20.30323,3954448858411184512,285.13276,82.85146,10.24,0.0,True,True
Mark_19,2460426.4314,0.32,0.07,51.94,5.95,-0.00077,0.00057,0.00314,0.00066,192.17618,21.61724,3955014350985048448,296.34465,84.45399,10.16,0.0,True,True
Mark_20,2460459.3841,0.17,0.04,49.23,7.34,-0.00025,0.00046,0.0017,0.00042,197.4529,21.41339,3943371484919989504,340.13467,82.91698,11.03,0.0,True,True
Mark_21,2460460.4186,0.43,0.06,57.88,4.36,-0.00186,0.00043,0.00386,0.00068,198.6741,20.79252,3940465510047354752,344.13926,81.73407,9.21,0.0,True,True
Mark_24_merged,2460804.89869,0.18,0.05,30.95,8.28,0.00087,0.00072,0.00163,0.00043,189.4734,18.62513,3948040114370324992,282.10164,80.94417,11.68,0.0,True,True
Mark_25,2460829.33374,0.2,0.03,68.72,4.81,-0.00149,0.00034,0.00137,0.00033,190.68454,19.247,3948125670118919936,288.25623,81.86973,9.56,0.0,True,True
Mark_26_merged,2460829.36353,0.19,0.01,67.72,2.09,-0.00133,0.00012,0.0013,0.00015,191.36523,19.06019,3936120858568898944,292.96152,81.81599,10.81,0.0,True,True
