#GID   RA    DEC     l     b     RP
3942003726810000000  193.18301  19.56730  305.24761  82.43323  12.31
3942019085620000000  192.87856  19.65332  303.07003  82.52505  10.51
3942021967540000000  193.35258  19.50348  306.43108  82.36183  12.44
3942026404240000000  193.28580  19.58141  305.98755  82.44304  11.96
3942041969200000000  193.25435  19.74743  305.82270  82.61031  11.96
3942054098190000000  193.19525  19.94605  305.45498  82.81122  12.31
3942063100440000000  191.85883  19.00495  296.26387  81.82483  10.69
3942068254400000000  192.22293  19.11116  298.62677  81.96162  11.89
3942073751960000000  192.09573  19.23237  297.69590  82.07304  11.58
3942077394090000000  191.91542  19.12715  296.54810  81.95205  11.33
3942082444980000000  191.73763  19.22008  295.27436  82.02503  11.46
3942083991160000000  191.99803  19.20329  297.05049  82.03566  10.00
3942084953240000000  191.90628  19.23768  296.40214  82.06104  12.35
3942090519510000000  191.94690  19.36897  296.57907  82.19565  11.84
3942093027770000000  192.37692  19.24391  299.61403  82.10322  11.30
3942101720790000000  192.53847  19.38424  300.68571  82.25039  10.70
3942108352220000000  192.55876  19.55793  300.78195  82.42465  12.19
3942110723040000000  192.13864  19.38578  297.89654  82.22932  11.39
3942112578470000000  192.26250  19.43691  298.73249  82.28918  12.45
3942119175540000000  192.34720  19.52073  299.28926  82.37798  9.50
3942126803400000000  192.24496  19.73077  298.44770  82.58111  12.49
3942129857120000000  191.71533  19.27813  295.06995  82.07992  11.75
3942133159950000000  191.48915  19.32835  293.48272  82.09935  12.22
3942137832870000000  191.73111  19.41603  295.04757  82.21859  8.78
3942141784240000000  191.63832  19.44843  294.37403  82.23889  11.55
3942150271100000000  191.36810  19.47682  292.47901  82.22722  12.19
3942152332680000000  191.49434  19.55172  293.26005  82.32072  9.88
3942152603270000000  191.48116  19.57052  293.14570  82.33729  11.36
3942156627650000000  191.72588  19.60739  294.82309  82.40765  9.40
3942160265490000000  191.51625  19.67889  293.26151  82.44955  12.32
3942160544660000000  191.61769  19.66367  293.99760  82.44911  12.14
3942175078830000000  192.14723  19.79486  297.69504  82.63763  12.16
3942183222090000000  191.88188  19.77532  295.77804  82.59270  10.76
3942192808450000000  191.99811  19.97746  296.45408  82.80583  12.07
3942204422050000000  192.66641  19.65500  301.53427  82.52465  12.32
3942209266770000000  192.90707  19.77535  303.28189  82.64697  10.49
3942210572440000000  192.94061  19.81933  303.53189  82.69070  12.38
3942212771460000000  192.77365  19.82087  302.29715  82.69219  12.45
3942225072250000000  192.66867  19.86801  301.51223  82.73766  11.81
3942229740880000000  192.51215  19.92917  300.32793  82.79390  11.58
3942233559100000000  193.06560  19.84350  304.46062  82.71280  11.03
3942240392400000000  193.03226  20.01183  304.24217  82.88182  12.19
3942241805440000000  193.19212  19.96291  305.43708  82.82819  9.12
3942249983060000000  193.14061  20.21682  305.12325  83.08378  12.07
3942254411170000000  192.92372  20.11250  303.42581  82.98400  12.48
3942255618060000000  192.78851  20.09528  302.38764  82.96673  11.16
3942255652420000000  192.81180  20.08908  302.56653  82.96069  12.41
3942257198600000000  192.85049  20.12852  302.86271  83.00026  12.34
3942270972560000000  192.41489  19.92693  299.60109  82.78717  12.32
3942274374180000000  192.25078  19.98082  298.34325  82.83086  12.06
3942275615420000000  192.34393  20.02893  299.01840  82.88500  11.41
3942276096460000000  192.27744  20.03895  298.50943  82.89070  11.94
3942277226040000000  192.45624  19.97395  299.89152  82.83618  11.81
3942279532430000000  192.54263  20.07625  300.50927  82.94204  12.15
3942279837380000000  192.63463  20.10162  301.20632  82.97035  11.05
3942283037130000000  192.40334  20.13109  299.42034  82.99040  11.58
3942289428040000000  192.15746  20.11908  297.54467  82.96143  11.33
3942295956390000000  192.24844  20.18809  298.19568  83.03735  8.76
3942305955070000000  192.74348  20.23734  302.02490  83.10828  11.35
3942309008790000000  192.55922  20.26840  300.57495  83.13465  12.28
3942309459770000000  192.55705  20.27836  300.55468  83.14452  9.82
3942314029610000000  192.85303  20.39579  302.88035  83.26754  11.99
3942315885040000000  192.87976  20.44499  303.09523  83.31672  12.25
3942316945890000000  192.74873  20.39284  302.04693  83.26383  12.38
3942319591590000000  192.86182  20.50454  302.95091  83.37629  12.14
3942320351800000000  192.79608  20.53553  302.41485  83.40702  10.89
3942327223750000000  192.41600  20.46796  299.35396  83.32738  12.34
3942329143600000000  192.43576  20.53897  299.47803  83.39935  11.90
3942330109970000000  192.62650  20.47307  301.04922  83.34141  11.89
3942337188080000000  192.69623  20.66552  301.57511  83.53555  11.31
3942347083680000000  194.04431  19.74921  311.55452  82.54149  12.43
3942353612030000000  194.17200  19.83304  312.57092  82.60634  9.72
3942356257730000000  193.90590  19.65382  310.46749  82.46425  12.45
3942360071660000000  193.98058  19.81954  311.17008  82.61945  11.78
3942366703090000000  194.08321  19.90028  312.00711  82.68562  11.09
3942371753970000000  194.08269  20.00325  312.12571  82.78750  12.16
3942378522840000000  194.32816  19.91371  313.80602  82.66111  12.34
3942379278760000000  194.27783  19.92887  313.46171  82.68435  12.36
3942382920890000000  194.58836  20.00117  315.82278  82.69921  12.46
3942384398360000000  194.61398  20.07732  316.13746  82.76845  12.17
3942387456370000000  194.54381  20.08002  315.62978  82.78509  11.12
3942403949050000000  194.50600  20.27412  315.67675  82.98232  11.94
3942406044990000000  194.30109  20.28396  314.14500  83.02983  9.19
3942407831700000000  194.37468  20.32767  314.77307  83.05966  12.13
3942410610540000000  193.70314  19.88863  309.20425  82.71924  11.60
3942413432340000000  193.65123  19.89992  308.82956  82.73538  11.34
3942417796020000000  193.88348  19.98078  310.62383  82.79127  10.45
3942427348030000000  193.56415  20.02037  308.26843  82.86289  12.48
3942442741190000000  193.74474  20.34272  309.92490  83.16634  12.39
3942445386890000000  194.03285  20.18130  311.96806  82.97055  10.01
3942452258840000000  194.00073  20.36222  311.94430  83.15395  11.79
3942456038410000000  194.36407  20.43414  314.86541  83.16601  9.54
3942460402100000000  194.25240  20.51413  314.12494  83.26446  12.16
3942464044230000000  194.00246  20.38402  311.98502  83.17526  11.48
3942467274050000000  193.75082  20.41854  310.04750  83.24097  12.35
3942478166080000000  194.01176  20.63392  312.38605  83.42090  12.39
3942478990720000000  194.04025  20.68945  312.69387  83.47149  10.09
3942491669460000000  194.97101  20.42558  319.45049  83.02484  10.24
3942501015310000000  194.66681  20.45966  317.23335  83.12977  12.21
3942505069760000000  194.54350  20.53760  316.43616  83.23203  10.87
3942518538770000000  195.23268  20.63704  321.90954  83.15627  12.05
3942520252470000000  194.97128  20.58687  319.81931  83.17993  11.89
3942529636970000000  195.17595  20.78497  321.86929  83.31336  12.36
3942533691420000000  194.94009  20.67586  319.78972  83.27352  10.97
3942534859650000000  195.06796  20.72421  320.88719  83.28583  8.99
3942547190500000000  195.01535  20.93690  321.02344  83.50356  11.66
3942554371690000000  194.29060  20.54089  314.46785  83.28405  12.11
3942555780440000000  194.32455  20.61730  314.86283  83.35287  11.89
3942557811960000000  194.36409  20.68373  315.29268  83.41056  11.60
3942563618750000000  194.56822  20.74805  317.04154  83.43174  12.25
3942591480200000000  194.75529  20.91505  318.90020  83.55038  11.54
3942591652000000000  194.78264  20.95069  319.20405  83.57799  11.81
3942594954830000000  194.91125  20.99148  320.33727  83.58403  10.33
3942605434550000000  194.70320  21.04563  318.78475  83.68913  10.96
3942609523360000000  194.58873  21.12631  318.02555  83.79433  12.32
3942619384610000000  194.71315  21.31920  319.54585  83.95031  12.36
3942619556410000000  194.76712  21.33237  320.03879  83.94904  11.64
3942621927230000000  193.33800  20.22086  306.66072  83.07874  11.09
3942626600150000000  193.35303  20.27239  306.80492  83.12928  11.74
3942632643170000000  193.62340  20.43815  309.05485  83.27354  11.66
3942634605970000000  193.39700  20.41888  307.23615  83.27265  12.19
3942634777770000000  193.39038  20.44083  307.19654  83.29498  11.75
3942636323960000000  193.55878  20.50641  308.59478  83.34738  11.44
3942644222400000000  193.19353  20.44712  305.62043  83.31189  11.60
3942650205290000000  193.40866  20.61134  307.45227  83.46380  11.37
3942650755047529856  193.44193  20.65085  307.75266  83.50078  9.12
3942650755050000000  193.44193  20.65085  307.75266  83.50078  9.12
3942664361500000000  193.86960  20.63569  311.23782  83.44218  11.56
3942665216200000000  193.86668  20.64895  311.23010  83.45569  11.06
3942674257110000000  193.47177  20.67280  308.01486  83.52036  11.07
3942677830520000000  193.49431  20.72944  308.24522  83.57498  10.69
3942681747530000000  193.74625  20.78739  310.39905  83.60765  12.38
3942687657410000000  193.63782  20.92235  309.62883  83.75358  9.04
3942690028230000000  193.72754  21.01923  310.50485  83.83985  11.36
3942692089810000000  193.00078  20.52896  304.08320  83.39945  12.48
3942692227250000000  193.01729  20.53618  304.21902  83.40635  10.21
3942692880090000000  193.07767  20.53966  304.71212  83.40839  11.31
3942694013960000000  193.02203  20.58459  304.26705  83.45465  10.24
3942701057700000000  193.20348  20.71221  305.80909  83.57627  12.04
3942701981120000000  193.30614  20.72676  306.67381  83.58552  9.17
3942702706970000000  193.24724  20.74730  306.19139  83.60923  12.06
3942726758790000000  193.31677  20.81695  306.81471  83.67490  11.28
3942733905610000000  193.35588  21.00641  307.26967  83.86143  11.31
3942750737590000000  193.23315  21.16364  306.28184  84.02566  12.21
3942750844970000000  193.14001  21.10243  305.42362  83.96875  10.37
3942766684810000000  193.94882  20.92154  312.26603  83.71417  10.11
3942772285440000000  194.37024  21.02724  315.98634  83.74525  11.77
3942777435110000000  194.20181  21.14241  314.77816  83.89028  11.54
3942782387210000000  193.98224  21.10127  312.81608  83.88665  11.20
3942796165460000000  194.43558  21.12012  316.72535  83.82232  11.94
3942806473380000000  194.58875  21.32550  318.49814  83.98708  9.37
3942812585120000000  194.57713  21.46710  318.75084  84.12666  11.80
3942818361850000000  194.15373  21.36414  314.77354  84.11649  11.69
3942826573830000000  194.50005  21.59433  318.39013  84.26808  12.37
3942828223100000000  194.27957  21.55625  316.30327  84.27994  12.35
3942828601050000000  194.34177  21.59279  316.95284  84.30242  12.49
3942830937520000000  194.39420  21.67591  317.63262  84.37159  12.26
3942837362790000000  193.62946  21.25832  309.91609  84.08826  12.06
