#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_81         2460830.37877   0.18   0.06  -11.38    9.84  0.00169  0.00062 -0.00071  0.00034
Mark_83         2460460.30471   0.39   0.06   36.56    4.51  0.00114  0.00100  0.00374  0.00056
Mark_84         2460460.31873   0.28   0.02   57.82    2.50 -0.00122  0.00039  0.00253  0.00019
Mark_85         2460426.36178   0.33   0.08   43.70    6.76  0.00015  0.00074  0.00333  0.00076
Mark_86         2460830.39351   0.12   0.05   -7.06   13.26  0.00119  0.00051 -0.00030  0.00042
Mark_89         2460438.38881   0.29   0.10   39.31   11.29  0.00057  0.00103  0.00285  0.00104
Mark_92         2460432.36662   0.30   0.06   10.45    6.10  0.00281  0.00055  0.00108  0.00098
Mark_95         2460432.31264   0.29   0.08   30.58    8.12  0.00139  0.00045  0.00253  0.00085
Mark_96         2460460.41568   0.45   0.04   59.83    2.28 -0.00224  0.00048  0.00393  0.00031
Mark_99         2460426.36532   0.08   0.09   -6.14   61.44  0.00074  0.00090 -0.00016  0.00060
Mark_104        2460460.38140   0.28   0.03   52.30    3.36 -0.00071  0.00063  0.00272  0.00030
Mark_105        2460459.35372   0.26   0.06   40.42    6.91  0.00042  0.00039  0.00259  0.00061
Mark_106        2460461.38732   0.31   0.08   35.26    7.72  0.00103  0.00045  0.00291  0.00083
Mark_110        2460438.38383   0.43   0.08   46.26    5.60 -0.00019  0.00077  0.00429  0.00082
Mark_112        2460459.42239   0.41   0.06   50.02    4.31 -0.00071  0.00076  0.00402  0.00060
Mark_116        2460459.32306   0.31   0.04   28.12    3.73  0.00170  0.00050  0.00255  0.00033
Mark_118        2460461.40406   0.42   0.06   58.27    3.84 -0.00189  0.00068  0.00378  0.00052
Mark_119        2460460.43713   0.31   0.07   39.27    6.83  0.00062  0.00058  0.00307  0.00072
Mark_121        2460460.33245   0.45   0.04   52.44    2.77 -0.00117  0.00038  0.00440  0.00044
Mark_122        2460432.38738   0.19   0.08   30.57   13.40  0.00091  0.00078  0.00165  0.00077
Mark_123        2460461.33009   0.41   0.06   36.22    4.15  0.00123  0.00052  0.00390  0.00059
Mark_124        2460460.29936   0.68   0.05   45.65    2.31 -0.00015  0.00079  0.00684  0.00055
Mark_127        2460459.42650   0.17   0.06    3.72   10.59  0.00173  0.00060  0.00023  0.00036
Mark_128        2460461.39760   0.28   0.06   27.93    6.37  0.00157  0.00057  0.00232  0.00062
Mark_131        2460459.41224   0.14   0.05   34.46   10.52  0.00051  0.00055  0.00131  0.00046
Mark_132        2460460.38516   0.50   0.06   55.90    3.39 -0.00185  0.00077  0.00464  0.00055
Mark_141        2460460.32760   0.30   0.05   50.75    4.96 -0.00060  0.00022  0.00295  0.00052
Mark_144        2460461.40938   0.27   0.06   67.86    6.98 -0.00193  0.00062  0.00188  0.00064
Mark_149        2460461.36106   0.22   0.03   55.22    4.49 -0.00078  0.00047  0.00210  0.00032
Mark_150        2460460.41163   0.28   0.04   61.06    4.48 -0.00147  0.00038  0.00234  0.00044
Mark_151        2460461.43247   0.27   0.05   55.18    5.47 -0.00093  0.00047  0.00250  0.00050
Mark_154        2460461.42809   0.38   0.06   56.85    4.54 -0.00153  0.00083  0.00349  0.00053
