Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec
Mark_72,2460459.35757,0.42,0.05,22.76,3.41,0.00297,0.00052,0.00302,0.00048,192.54263,20.07625
Mark_74,2460459.39503,0.18,0.07,38.76,13.03,0.00039,0.00049,0.00174,0.00073,198.03603,21.6534
Mark_75,2460461.37286,0.27,0.08,40.35,9.45,0.00044,0.00041,0.00269,0.00085,191.89113,20.23809
Mark_76,2460830.35889,0.4,0.1,-32.38,7.56,0.00171,0.00058,-0.00362,0.00108,187.65404,18.06968
Mark_78,2460461.39199,0.16,0.08,19.39,16.0,0.00127,0.00092,0.00102,0.00045,195.46664,21.80978
Mark_79,2460461.35341,0.27,0.04,44.59,4.75,4e-05,0.0005,0.00272,0.00044,187.62355,18.77921
Mark_81,2460830.37877,0.18,0.06,-11.38,9.84,0.00169,0.00062,-0.00071,0.00034,188.01074,18.02063
Mark_83,2460460.30471,0.39,0.06,36.56,4.51,0.00114,0.001,0.00374,0.00056,184.34114,19.05303
Mark_84,2460460.31873,0.28,0.02,57.82,2.5,-0.00122,0.00039,0.00253,0.00019,184.5835,19.01308
Mark_85,2460426.36178,0.33,0.08,43.7,6.76,0.00015,0.00074,0.00333,0.00076,174.02637,15.67919
Mark_86,2460830.39351,0.12,0.05,-7.06,13.26,0.00119,0.00051,-0.0003,0.00042,191.77885,20.02359
Mark_89,2460438.38881,0.29,0.1,39.31,11.29,0.00057,0.00103,0.00285,0.00104,185.9707,19.05754
Mark_92,2460432.36662,0.3,0.06,10.45,6.1,0.00281,0.00055,0.00108,0.00098,184.13316,19.0139
Mark_95,2460432.31264,0.29,0.08,30.58,8.12,0.00139,0.00045,0.00253,0.00085,174.23676,16.17048
Mark_96,2460460.41568,0.45,0.04,59.83,2.28,-0.00224,0.00048,0.00393,0.00031,198.50754,21.06732
Mark_99,2460426.36532,0.08,0.09,-6.14,61.44,0.00074,0.0009,-0.00016,0.0006,173.92136,15.51353
Mark_104,2460460.3814,0.28,0.03,52.3,3.36,-0.00071,0.00063,0.00272,0.0003,195.82549,20.35185
Mark_105,2460459.35372,0.26,0.06,40.42,6.91,0.00042,0.00039,0.00259,0.00061,191.74118,21.92971
Mark_106,2460461.38732,0.31,0.08,35.26,7.72,0.00103,0.00045,0.00291,0.00083,194.83186,22.69265
Mark_110,2460438.38383,0.43,0.08,46.26,5.6,-0.00019,0.00077,0.00429,0.00082,185.77832,18.27509
Mark_112,2460459.42239,0.41,0.06,50.02,4.31,-0.00071,0.00076,0.00402,0.0006,199.77525,20.8951
Mark_116,2460459.32306,0.31,0.04,28.12,3.73,0.0017,0.0005,0.00255,0.00033,184.40889,19.57923
Mark_118,2460461.40406,0.42,0.06,58.27,3.84,-0.00189,0.00068,0.00378,0.00052,195.64954,20.84596
Mark_119,2460460.43713,0.31,0.07,39.27,6.83,0.00062,0.00058,0.00307,0.00072,199.39124,20.75375
