#Filename  optimal_apeture
37_Mark_53_00_R_26.00_2024_05_30-22_05_46.fits   6.5
37_Mark_53_01_R_26.00_2024_05_30-22_06_22.fits   5.5
37_Mark_53_02_R_26.00_2024_05_30-22_06_58.fits   5.5
37_Mark_53_03_R_26.00_2024_05_30-22_07_34.fits   6.0
37_Mark_53_04_R_26.00_2024_05_30-22_08_10.fits   6.0
37_Mark_53_05_R_26.00_2024_05_30-22_09_03.fits   6.5
37_Mark_53_06_R_26.00_2024_05_30-22_09_39.fits   6.5
37_Mark_53_07_R_26.00_2024_05_30-22_10_15.fits   6.5
37_Mark_53_08_R_26.00_2024_05_30-22_10_53.fits   6.5
37_Mark_53_09_R_26.00_2024_05_30-22_11_29.fits   6.0
37_Mark_53_10_R_26.00_2024_05_30-22_12_05.fits   6.0
