#Filename  optimal_apeture
36_Mark_261_00_R_12.00_2024_04_30-18_54_50.fits   12.5
36_Mark_261_01_R_12.00_2024_04_30-18_55_12.fits   11.0
36_Mark_261_02_R_12.00_2024_04_30-18_55_34.fits   11.0
36_Mark_261_03_R_12.00_2024_04_30-18_56_02.fits   13.5
36_Mark_261_04_R_12.00_2024_04_30-18_56_24.fits   13.0
36_Mark_261_05_R_12.00_2024_04_30-18_56_46.fits   12.5
36_Mark_261_06_R_12.00_2024_04_30-18_57_09.fits   12.5
36_Mark_261_07_R_12.00_2024_04_30-18_57_39.fits   12.5
36_Mark_261_08_R_12.00_2024_04_30-18_58_01.fits   13.0
36_Mark_261_09_R_12.00_2024_04_30-18_58_23.fits   13.5
