#Filename  optimal_apeture
4_BD+40.2704_00_R_3.00_2025_06_08-19_04_31.fits   15.0
4_BD+40.2704_01_R_3.00_2025_06_08-19_04_44.fits   15.0
4_BD+40.2704_02_R_3.00_2025_06_08-19_04_57.fits   13.0
4_BD+40.2704_03_R_3.00_2025_06_08-19_05_10.fits   14.0
4_BD+40.2704_04_R_3.00_2025_06_08-19_05_23.fits   12.0
4_BD+40.2704_05_R_3.00_2025_06_08-19_05_36.fits   13.0
4_BD+40.2704_06_R_3.00_2025_06_08-19_05_49.fits   13.0
4_BD+40.2704_07_R_3.00_2025_06_08-19_06_02.fits   13.0
4_BD+40.2704_08_R_3.00_2025_06_08-19_06_15.fits   13.0
4_BD+40.2704_09_R_3.00_2025_06_08-19_06_28.fits   14.0
