#JD PD[%] sPD EPVA[deg] sEVPA q sq u su
Mark_1          2459714.70265     4.52   0.03  -37.12    0.19  0.01227  0.00048 -0.04350  0.00029
Mark_2          2459716.28764     4.48   0.05  -37.19    0.35  0.01207  0.00049 -0.04315  0.00055
Mark_3          2459717.24076     4.63   0.06  -37.67    0.36  0.01171  0.00069 -0.04476  0.00057
Mark_4          2459724.94669     4.54   0.03  -37.57    0.17  0.01165  0.00037 -0.04393  0.00027
