#Filename  optimal_apeture
25_Mark_44_00_R_13.00_2024_05_07-22_34_58.fits   7.0
25_Mark_44_01_R_13.00_2024_05_07-22_35_21.fits   7.0
25_Mark_44_02_R_13.00_2024_05_07-22_35_44.fits   7.5
25_Mark_44_03_R_13.00_2024_05_07-22_36_07.fits   6.5
25_Mark_44_04_R_13.00_2024_05_07-22_36_30.fits   7.0
25_Mark_44_05_R_13.00_2024_05_07-22_36_53.fits   7.0
25_Mark_44_06_R_13.00_2024_05_07-22_37_16.fits   7.0
25_Mark_44_07_R_13.00_2024_05_07-22_37_39.fits   6.5
25_Mark_44_08_R_13.00_2024_05_07-22_38_02.fits   7.0
25_Mark_44_09_R_13.00_2024_05_07-22_38_46.fits   6.5
25_Mark_44_10_R_13.00_2024_05_07-22_39_09.fits   7.0
25_Mark_44_11_R_13.00_2024_05_07-22_39_32.fits   7.0
25_Mark_44_12_R_13.00_2024_05_07-22_39_55.fits   7.0
25_Mark_44_13_R_13.00_2024_05_07-22_40_18.fits   7.0
25_Mark_44_14_R_13.00_2024_05_07-22_40_41.fits   7.0
25_Mark_44_15_R_13.00_2024_05_07-22_41_04.fits   7.0
25_Mark_44_16_R_13.00_2024_05_07-22_41_27.fits   7.0
25_Mark_44_17_R_13.00_2024_05_07-22_41_50.fits   7.0
