starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
60,6047515133333811456,248.0711537087519,-24.848310208429922,13.86003,1.0,0.0,6047515133333811456,nan,nan,nan
61,6047570826172040960,248.04912511846956,-24.67277558221826,12.554376,1.0,0.0,6047570826172040960,nan,nan,nan
62,6047571517663766144,248.09709547019548,-24.671852284242867,10.565033,1.0,0.0,6047571517663766144,nan,nan,nan
65,6050632592395286272,248.10293995182778,-24.00369181852004,12.102172,1.0,0.0,6050632592395286272,nan,nan,nan
66,6050633245230315520,248.1576088179358,-23.96576772045486,12.516221,1.0,0.0,6050633245230315520,nan,nan,nan
67,6050637467181682176,248.09023956686292,-23.87291864006336,11.939025,1.0,0.0,6050637467181682176,nan,nan,nan
68,6050731372346328320,248.1304735705801,-23.8567311132757,12.123224,1.0,0.0,6050731372346328320,nan,nan,nan
73,6047610275449335552,248.2891227392643,-24.288394031472016,13.097074,1.0,0.0,6047610275449335552,nan,nan,nan
74,6047313716555670912,248.54964912879572,-24.992017958348526,15.173127,1.0,0.0,6047313716555670912,nan,nan,nan
75,6047532858662015872,248.51527268917425,-24.71601056371298,13.310492,1.0,0.0,6047532858662015872,nan,nan,nan
77,6047735551057125504,248.50424448985527,-23.707102983665475,14.390072,1.0,0.0,6047735551057125504,nan,nan,nan
78,6047735344898695168,248.4931476062812,-23.730020750509336,13.692429,1.0,0.0,6047735344898695168,nan,nan,nan
79,6047701569275753600,248.61118313457402,-24.228772062130716,11.294121,1.0,0.0,6047701569275753600,nan,nan,nan
80,6047527949515389824,248.7060628635506,-24.795308131733155,10.768852,1.0,0.0,6047527949515389824,nan,nan,nan
81,6047334504198022912,248.8696152903683,-24.94685445822566,7.689314,1.0,0.0,6047334504198022912,nan,nan,nan
82,6047347423459726464,248.89320745206322,-24.72986961303788,13.489657,1.0,0.0,6047347423459726464,nan,nan,nan
83,6047347556593264896,248.93123245274325,-24.727483411049633,12.732311,1.0,0.0,6047347556593264896,nan,nan,nan
84,6047648689638461824,248.71365060890136,-24.40209368447134,11.11571,1.0,0.0,6047648689638461824,nan,nan,nan
85,6050772642690854784,248.76210152010205,-23.36333354663353,12.436146,1.0,0.0,6050772642690854784,nan,nan,nan
86,6047343197211851520,249.03826550318885,-24.795933871105543,8.9827795,1.0,0.0,6047343197211851520,nan,nan,nan
90,6050739897860455680,248.46706970522433,-23.582494075788592,13.685185,1.0,0.0,6050739897860455680,nan,nan,nan
91,6049123615765201536,246.53881047417445,-24.570171196663942,10.976783,1.0,0.0,6049123615765201536,nan,nan,nan
