EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
4687277034819243520,36438,20.45507017550879,-72.7181335482998,14.668775,6189,46,3,0,0.00302,7e-05,-69.9,nan,960.40607,940.2109,977.8717,958.4262,941.3844,979.1795
4687277034819244544,36441,20.454982897674014,-72.72733389145382,19.163803,6192,46,3,0,0.02556,0.00449,-46.1,nan,4083.6243,2201.9092,6982.8774,3347.7876,2177.7505,4735.6377
4687277064880473856,36451,20.502839196028038,-72.71280740604006,18.597002,6202,46,3,0,0.01197,0.00364,82.5,nan,3761.9502,2591.4639,5371.489,3530.6335,1885.5548,4266.661
4687277103538718976,36437,20.45464612354997,-72.71246143295562,16.66969,6188,46,3,0,0.00668,0.00107,-54.4,nan,8673.503,6642.016,11205.029,8817.555,7368.2007,9566.768
4687277137899114624,36443,20.464936646352296,-72.70545298415317,15.382601,6194,46,3,0,0.0046,0.00015,-77.6,nan,620.7832,610.9048,630.7046,622.6339,614.4051,632.1914
4687277172258665600,36408,20.3219046770917,-72.73306084492928,18.794634,6159,46,3,0,0.02555,0.00631,-62.8,nan,4887.73,3241.7039,8122.5015,4061.5676,3333.2173,5613.03
4687277271038952448,36418,20.368499638793445,-72.70386956987895,18.72072,6169,46,3,0,0.03767,0.00687,-31.1,nan,6330.2124,4243.3823,10038.12,5548.7495,4435.486,6885.056
4687277309697581440,36432,20.445355279899154,-72.6923516535961,15.392797,6183,46,3,0,0.00952,0.00125,-52.7,nan,1796.4392,1723.4542,1874.3383,1786.0847,1723.2562,1875.1312
4687277447136107264,36487,20.608329984640353,-72.74645854040334,16.33595,6238,46,3,0,0.00193,0.0002,88.7,nan,11849.069,8347.663,19776.275,10796.389,7770.435,18062.238
4687277722014010752,36476,20.581857606946734,-72.71901219935481,17.122122,6227,46,3,0,0.0163,0.00493,-49.1,nan,6649.268,5160.9727,10351.17,7870.9927,6388.8877,10612.396
4687277756375963520,36482,20.59553708901462,-72.71007270766434,15.410364,6233,46,3,0,0.00215,0.00042,-27.3,nan,2013.7833,1412.5535,3150.6758,1662.5175,1015.11475,2896.7314
4687277825093223424,36488,20.61018520999849,-72.7026594328572,16.250593,6239,46,3,0,0.00967,0.00285,-74.4,nan,10467.25,7729.1187,15479.57,9166.506,7028.2686,12190.9
4687278546647728768,36465,20.54282566990353,-72.69773576924437,18.75398,6216,46,3,0,0.02232,0.00417,-34.4,nan,3997.5432,2944.6309,5371.7856,3553.2302,2725.5317,4753.6714
4687278576709034752,36477,20.585153595033468,-72.69433101926337,17.364777,6228,46,3,0,0.0162,0.0028,-45.1,nan,11279.981,8682.324,17873.572,10992.703,8088.9106,13944.189
4687278581007466240,36472,20.566673741909327,-72.68879756184842,16.06936,6223,46,3,0,0.00678,0.0015,-53.4,nan,10800.409,8145.0386,15456.921,15763.237,11887.331,18023.41
4687278611068775936,36458,20.524130209062704,-72.69556870942141,17.996616,6209,46,3,0,0.01296,0.00243,-32.3,nan,4086.176,2948.8135,5562.8296,2661.1228,2363.057,3509.213
4687278615367204736,36456,20.514911806998562,-72.68927740815695,19.215202,6207,46,3,0,0.00996,0.0027,-18.5,nan,3961.2493,2757.9854,5705.5815,6118.704,5040.675,7768.6904
4687282635457077376,19959,20.05922915102101,-72.7492779237353,7.385373,6256,29,3,0,0.00016,0.00013,-53.8,23.3,102.19478,102.021675,102.3815,102.18364,102.02719,102.33913
4687288614051523840,36398,20.268204336349253,-72.71252152159308,17.250687,6149,46,3,0,0.00665,0.00101,84.5,nan,6886.6396,5429.218,9123.038,4385.682,4066.7495,4691.068
4687288987709787904,36407,20.31921632614222,-72.69377498854251,17.608196,6158,46,3,0,0.01358,0.00426,-53.9,nan,5811.061,4440.616,7354.196,7044.869,5477.793,8878.043
