#Filename  optimal_apeture
3_BD+33.2642_00_R_7.00_2025_06_08-19_21_40.fits   14.0
3_BD+33.2642_01_R_7.00_2025_06_08-19_21_57.fits   13.0
3_BD+33.2642_02_R_7.00_2025_06_08-19_22_14.fits   13.0
3_BD+33.2642_03_R_7.00_2025_06_08-19_22_31.fits   14.0
3_BD+33.2642_04_R_7.00_2025_06_08-19_22_48.fits   14.0
3_BD+33.2642_05_R_7.00_2025_06_08-19_23_05.fits   13.0
3_BD+33.2642_06_R_7.00_2025_06_08-19_23_23.fits   14.0
3_BD+33.2642_07_R_7.00_2025_06_08-19_23_40.fits   13.0
3_BD+33.2642_08_R_7.00_2025_06_08-19_23_57.fits   14.0
3_BD+33.2642_09_R_7.00_2025_06_08-19_24_14.fits   15.0
