source_id,ext,err_ext,quality_flags,mod_parallax,err_mod_parallax
3899061681717047936,0.0062010367,0.009260389,0,3.1091154,0.0164058
3906091752906395392,0.0070386506,0.008586177,8,3.361304,0.028594619
3911956925886262784,0.007070513,0.010097481,0,3.6202986,0.021054098
3917713384653237248,0.011321702,0.0071621058,0,5.1963415,0.15952048
3919939238568799616,0.018795075,0.03164377,11,3.9636774,0.06203528
3920790093065919104,0.039900415,0.0068172566,8,4.091808,0.024146961
3921527727929147264,0.001464116,0.011075392,56,2.1132326,0.017392587
3925169894556087680,0.0053044828,0.01112889,8,5.9947004,0.018800067
3925530774887997056,0.0029454175,0.0106218895,6,6.1733494,0.02318177
3926601527414968704,0.03547403,0.009019295,0,4.0559382,0.021470724
3931534417613368448,0.03358595,0.0043824534,15,3.1704025,0.025561165
3933474643318982016,0.007395323,0.008002314,4,1.5105777,0.017345631
3933748834031261824,0.00930371,0.013214704,11,2.2681994,0.02121203
3934385451263677568,0.010767578,0.007196743,10,10.688585,0.10005512
3934494646512883072,0.026219321,0.0054266676,8,9.03832,0.17006803
3934695788422370944,0.14433986,0.011441532,58,4.8460803,0.037813924
3935130748348712832,0.0017878906,0.012969108,10,10.14764,0.038147975
3935474826768615936,0.0030843525,0.008320153,8,3.6381855,0.018519685
3935966136667526272,0.003042077,0.007240995,4,2.543804,0.052562043
3937361863600610560,0.007016329,0.006021081,2,1.3153447,0.03208508
3938234600954772608,0.006298848,0.011750083,12,6.9582973,0.036697097
3939343389711719808,0.008354224,0.010634332,8,6.955678,0.01722551
3939784018997099904,0.00360018,0.011986071,15,10.513123,0.11321491
3939785599545548800,0.0020424428,0.0082959095,15,10.694099,0.038801983
3940602742842370176,0.00586073,0.0067636953,13,6.600722,0.029748783
3941433286438418944,0.004818035,0.011791123,0,5.088307,0.017123492
3941895081321728896,0.004095997,0.013104019,0,15.212038,0.024667632
3942259878663841152,0.001975755,0.010365029,10,7.413088,0.024685146
3942650755047529856,0.0014085599,0.007816772,4,2.7614768,0.02314214
3942863716706494080,0.0030328322,0.010199615,15,3.8811781,0.061289825
3942930889994910336,0.01371426,0.0064309174,8,6.798018,0.024059337
3942952193032058880,0.0069722785,0.00942871,8,5.786532,0.0314216
3943094476709294336,0.0026327362,0.011443227,8,8.659067,0.019903995
3943394845252502144,0.0044261017,0.0091198925,10,20.29843,0.03939649
3944129495108278912,0.0030167073,0.009183818,8,13.825925,0.025819764
3944170417556586880,0.009287382,0.010165519,4,4.765211,0.01944228
3944504806530617344,0.085845865,0.009361394,27,6.2007318,0.033532873
3944674165681089408,1.1980258,0.049023986,59,16.261929,0.18329155
3949066989511807104,0.012834108,0.009737607,0,2.1381543,0.02346581
3954409585229559168,0.0051853247,0.011740413,14,3.130032,0.10922472
3954430132353974016,0.0014115012,0.0091037005,10,4.5317273,0.04226822
3954847912411842688,0.0030559066,0.009195258,14,5.580376,0.022434855
3954879832609313792,0.05219967,0.008255998,0,4.9101996,0.074696936
3955013182753923840,0.005397783,0.008833468,8,1.8609815,0.025574906
3955307027237538560,0.003154286,0.006408725,8,11.9522705,0.100181594
3955790468755645440,0.029034525,0.010115919,8,7.913285,0.021997543
3956984087415933440,0.0017921771,0.009345459,14,6.3040833,0.026663182
3957822950359491840,0.033066045,0.0037328573,8,4.8715773,0.02243838
3958524541856989952,0.0011059768,0.00872333,12,3.8191652,0.021097966
3959201359982704768,0.0012877723,0.009203067,14,2.823869,0.044170897
3960386392999869568,0.007556491,0.010820619,0,1.640565,0.017020067
3961239132987142016,0.029786237,0.003780377,12,2.1220715,0.018121492
3967421686869541632,0.0047326745,0.011401464,8,3.5976202,0.025395371
3972411339355935360,3.1973975E-4,0.007957889,24,2.205985,0.07611841
3975181868140265216,0.0018007443,0.00875735,14,3.4946694,0.08355303
