source_id,ext,err_ext,quality_flags,mod_parallax,err_mod_parallax
3942609523362045312,0.13112806,0.007585202,0,2.1701298,0.01915338
3942777435107365632,0.113059774,0.007812649,0,3.8100116,0.031560767
3942782387205873536,0.11002631,0.008382162,0,2.6673136,0.026359346
3942619556405652608,0.03404354,0.007314492,0,1.7693007,0.042518936
3944050639508731264,0.08834111,0.010491108,0,0.33976072,0.012521372
3942750737590666624,0.048506856,0.010179188,0,1.0141959,0.020776313
3954771530713595008,0.07442609,0.0053429427,0,4.6531343,0.022527281
3949432542768145280,0.06357833,0.010494598,0,1.0307543,0.01723957
3972526577623362560,0.0685312,0.008895556,0,3.3073618,0.014165706
3954447376646676096,0.011433812,0.007265305,7,2.241823,0.08014078
3944098326529645184,0.11783615,0.006442407,0,2.3080654,0.022467291
3955304622055819776,0.03880049,0.008540143,0,1.7063571,0.019390963
3943038745213593088,0.007940991,0.009896998,12,3.1304038,0.19609334
3954448858411184512,0.019188914,0.008584582,0,3.650178,0.018520433
3955014350985048448,0.025283813,0.00938716,0,0.8893556,0.023287231
3943371484919989504,0.027867865,0.008994634,0,2.2107346,0.020542713
3940465510047354752,0.028243272,0.0076748775,0,0.8940658,0.016953316
3948040114370324992,0.010592508,0.007971624,0,1.776343,0.01675601
3948125670118919936,0.019134061,0.00834703,0,1.1014619,0.016236229
3936120858568898944,0.0048629693,0.02372448,11,2.0351346,0.031000312
3950222885469862912,0.019906918,0.008677557,0,1.72464,0.014890604
3944294078254914816,0.027854932,0.006520989,0,3.9645343,0.020833846
3942382920887888128,0.016773427,0.009685159,0,1.6455164,0.021261558
3925449788984636800,0.029542414,0.007016781,0,1.7164165,0.020267949
3972560353245532928,0.038036115,0.009268641,0,2.269197,0.017262852
3943509370550073088,0.025337407,0.0076627913,0,1.3746326,0.0145586245
3943684570856057984,0.00365342,0.00995892,0,3.613901,0.021298762
3940586731204294400,0.037800185,0.008274096,0,0.8891233,0.012754418
3942828601053975040,0.029777523,0.009203345,6,1.0790894,0.0155274905
