# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_48         2460460.43183     0.29   0.21   82.01   61.44 -0.00275  0.00212  0.00079  0.00207
Mark_48         2460460.43212     0.34   0.21   74.74   23.34 -0.00293  0.00211  0.00173  0.00206
Mark_48         2460460.43241     0.38   0.21   84.24   19.90 -0.00370  0.00209  0.00075  0.00204
Mark_48         2460460.43270     0.54   0.21   75.26   12.50 -0.00473  0.00213  0.00267  0.00208
Mark_48         2460460.43299     0.73   0.21   60.40    8.51 -0.00376  0.00210  0.00631  0.00205
Mark_48         2460460.43328     0.68   0.21   59.90    9.27 -0.00338  0.00210  0.00591  0.00205
Mark_48         2460460.43360     0.27   0.21   64.57   61.44 -0.00172  0.00210  0.00211  0.00205
Mark_48         2460460.43389     0.18   0.21   82.58   61.44 -0.00178  0.00208  0.00047  0.00203
Mark_48         2460460.43418     0.69   0.20   32.16    9.08  0.00298  0.00208  0.00620  0.00204
Mark_51         2460461.37969     0.20   0.22   79.15   61.44 -0.00188  0.00217  0.00075  0.00210
Mark_51         2460461.38007     0.50   0.21   69.15   14.02 -0.00374  0.00217  0.00333  0.00210
Mark_51         2460461.38046     0.23   0.21   47.34   61.44 -0.00018  0.00217  0.00225  0.00210
Mark_51         2460461.38097     0.33   0.21   23.07   25.08  0.00230  0.00218  0.00239  0.00211
Mark_51         2460461.38137     0.07   0.22   -3.15   61.44  0.00074  0.00218 -0.00008  0.00211
Mark_51         2460461.38175     0.13   0.22   85.97   61.44 -0.00126  0.00217  0.00018  0.00211
Mark_51         2460461.38213     0.23   0.21  -27.42   61.44  0.00135  0.00219 -0.00192  0.00212
Mark_51         2460461.38251     0.31   0.22   -3.16   28.48  0.00308  0.00217 -0.00034  0.00209
Mark_53         2460461.42067     0.28   0.23  -70.41   61.44 -0.00220  0.00236 -0.00179  0.00230
Mark_53         2460461.42109     0.48   0.30  -37.39   23.83  0.00125  0.00304 -0.00460  0.00297
Mark_53         2460461.42150     0.44   0.27  -51.70   23.46 -0.00101  0.00278 -0.00425  0.00270
Mark_53         2460461.42192     0.24   0.22   34.50   61.44  0.00086  0.00224  0.00225  0.00216
Mark_53         2460461.42234     0.29   0.22   21.98   61.44  0.00212  0.00223  0.00205  0.00216
Mark_53         2460461.42295     0.13   0.22  -25.75   61.44  0.00080  0.00225 -0.00100  0.00219
Mark_53         2460461.42337     0.12   0.22  -14.78   61.44  0.00101  0.00224 -0.00057  0.00218
Mark_53         2460461.42378     0.36   0.22   38.50   22.49  0.00082  0.00224  0.00354  0.00218
Mark_53         2460461.42422     0.37   0.22  -19.72   22.11  0.00287  0.00224 -0.00236  0.00216
Mark_53         2460461.42464     0.26   0.22  -48.71   61.44 -0.00034  0.00223 -0.00262  0.00216
Mark_53         2460461.42506     0.30   0.22  -23.45   61.44  0.00203  0.00225 -0.00217  0.00219
Mark_54         2460461.35652     0.34   0.13   44.87   12.67  0.00002  0.00138  0.00340  0.00134
Mark_54         2460461.35675     0.13   0.14   35.44   61.44  0.00042  0.00139  0.00122  0.00135
Mark_54         2460461.35700     0.39   0.13   54.68   10.78 -0.00129  0.00138  0.00368  0.00134
Mark_54         2460461.35723     0.23   0.13   54.83   21.09 -0.00079  0.00138  0.00220  0.00134
Mark_54         2460461.35749     0.46   0.13   41.90    8.87  0.00050  0.00138  0.00457  0.00134
Mark_54         2460461.35773     0.30   0.14   52.09   15.07 -0.00073  0.00139  0.00290  0.00135
Mark_54         2460461.35797     0.15   0.14   60.26   61.44 -0.00074  0.00139  0.00126  0.00135
Mark_54         2460461.35822     0.49   0.14   51.22    8.42 -0.00105  0.00139  0.00475  0.00135
Mark_55         2460438.32174     0.31   0.18   25.10   21.25  0.00201  0.00184  0.00241  0.00180
Mark_55         2460438.32197     0.57   0.18   70.88    9.73 -0.00451  0.00183  0.00355  0.00179
Mark_55         2460438.32220     0.78   0.18   45.90    6.86 -0.00025  0.00183  0.00779  0.00180
Mark_55         2460438.32243     0.58   0.18   57.08    9.58 -0.00236  0.00184  0.00526  0.00179
Mark_55         2460438.32266     0.49   0.18   52.58   11.64 -0.00128  0.00184  0.00473  0.00180
Mark_55         2460438.32289     0.62   0.18   49.30    8.73 -0.00093  0.00184  0.00613  0.00178
Mark_55         2460438.32313     0.33   0.18   45.76   19.24 -0.00009  0.00183  0.00329  0.00178
Mark_55         2460438.32336     0.41   0.18   57.28   14.56 -0.00169  0.00183  0.00370  0.00178
Mark_55         2460438.32359     0.88   0.18   56.75    6.05 -0.00350  0.00185  0.00805  0.00179
Mark_56         2460460.35547     0.26   0.14   33.90   17.91  0.00100  0.00138  0.00244  0.00135
Mark_56         2460460.35573     0.47   0.14   60.31    8.81 -0.00239  0.00138  0.00404  0.00135
Mark_56         2460460.35598     0.27   0.13   46.35   17.52 -0.00013  0.00138  0.00265  0.00134
Mark_56         2460460.35625     0.34   0.14   50.02   12.94 -0.00059  0.00139  0.00332  0.00135
Mark_56         2460460.35649     0.47   0.14   58.78    8.79 -0.00217  0.00138  0.00416  0.00135
Mark_56         2460460.35675     0.24   0.14   62.90   20.49 -0.00142  0.00139  0.00197  0.00136
Mark_56         2460460.35701     0.31   0.14   61.32   14.41 -0.00168  0.00138  0.00262  0.00135
Mark_56         2460460.35727     0.44   0.14   49.51    9.51 -0.00069  0.00139  0.00434  0.00136
Mark_59         2460481.35005     0.29   0.17   88.19   21.41 -0.00285  0.00166  0.00018  0.00164
Mark_59         2460481.35039     0.43   0.16   29.75   12.30  0.00217  0.00167  0.00369  0.00164
Mark_59         2460481.35074     0.22   0.17   55.07   61.44 -0.00075  0.00168  0.00204  0.00166
Mark_59         2460481.35109     0.29   0.17    6.42   21.79  0.00278  0.00168  0.00063  0.00165
Mark_59         2460481.35144     0.12   0.17   62.76   61.44 -0.00067  0.00169  0.00094  0.00166
Mark_59         2460481.35178     0.28   0.17   35.63   22.09  0.00089  0.00168  0.00263  0.00165
Mark_59         2460481.35213     0.18   0.17  -71.10   61.44 -0.00140  0.00170 -0.00109  0.00167
Mark_59         2460481.35251     0.10   0.17  -43.19   61.44  0.00006  0.00169 -0.00097  0.00167
Mark_60         2460460.31385     0.19   0.11   45.24   21.93 -0.00002  0.00113  0.00188  0.00111
Mark_60         2460460.31407     0.48   0.11   16.78    6.91  0.00402  0.00113  0.00267  0.00110
Mark_60         2460460.31429     0.40   0.11   59.99    8.32 -0.00201  0.00113  0.00348  0.00110
Mark_60         2460460.31451     0.24   0.11   52.48   15.74 -0.00061  0.00113  0.00228  0.00110
Mark_60         2460460.31499     0.06   0.11   68.96   61.44 -0.00041  0.00113  0.00037  0.00110
Mark_60         2460460.31521     0.30   0.11   55.59   11.96 -0.00107  0.00113  0.00276  0.00111
Mark_60         2460460.31543     0.29   0.11   36.40   12.25  0.00085  0.00113  0.00274  0.00110
Mark_60         2460460.31565     0.35   0.11   68.41    9.90 -0.00254  0.00113  0.00238  0.00110
Mark_64         2460460.34462     0.33   0.16   66.50   17.04 -0.00224  0.00164  0.00240  0.00161
Mark_64         2460460.34487     0.29   0.16   52.44   19.95 -0.00075  0.00164  0.00281  0.00161
Mark_64         2460460.34523     0.69   0.16   37.53    6.96  0.00179  0.00165  0.00670  0.00162
Mark_64         2460460.34549     0.55   0.16   41.65    9.04  0.00064  0.00166  0.00546  0.00163
Mark_64         2460460.34575     0.37   0.16   47.54   14.71 -0.00033  0.00167  0.00366  0.00163
Mark_64         2460460.34609     0.57   0.16   39.77    8.67  0.00104  0.00167  0.00565  0.00164
Mark_64         2460460.34634     0.30   0.16   17.32   19.39  0.00250  0.00166  0.00173  0.00163
Mark_64         2460460.34660     0.35   0.16   45.85   15.55 -0.00010  0.00166  0.00352  0.00163
Mark_65         2460431.28039     0.65   0.24   51.65   11.90 -0.00149  0.00247  0.00629  0.00242
Mark_65         2460431.28069     0.61   0.23   49.06   11.77 -0.00087  0.00235  0.00609  0.00228
Mark_65         2460431.28100     0.65   0.24   49.80   11.92 -0.00108  0.00248  0.00639  0.00243
Mark_65         2460431.28130     0.60   0.23   50.23   12.00 -0.00110  0.00233  0.00595  0.00228
Mark_65         2460431.28160     0.62   0.23   44.14   11.97  0.00019  0.00237  0.00616  0.00232
Mark_65         2460431.28190     0.63   0.23   28.12   11.59  0.00352  0.00236  0.00527  0.00231
Mark_65         2460431.28220     0.58   0.23   54.46   13.08 -0.00187  0.00238  0.00544  0.00232
Mark_65         2460431.28250     0.69   0.24   31.99   10.60  0.00304  0.00240  0.00623  0.00235
Mark_66         2460460.42272     0.72   0.22   70.59    9.37 -0.00560  0.00222  0.00451  0.00216
Mark_66         2460460.42304     0.50   0.22   87.95   14.75 -0.00496  0.00221  0.00036  0.00216
Mark_66         2460460.42339     0.32   0.22   37.53   27.10  0.00082  0.00221  0.00308  0.00216
Mark_66         2460460.42373     0.69   0.22   75.51    9.96 -0.00601  0.00223  0.00333  0.00217
Mark_66         2460460.42441     0.27   0.22   28.09   61.44  0.00151  0.00223  0.00226  0.00218
Mark_66         2460460.42598     0.89   0.22   52.27    7.30 -0.00224  0.00225  0.00862  0.00217
Mark_66         2460460.42632     0.71   0.22   67.59    9.53 -0.00503  0.00223  0.00500  0.00217
Mark_66         2460460.42666     0.42   0.22   49.33   18.49 -0.00063  0.00225  0.00411  0.00218
Mark_66         2460460.42699     0.72   0.22   55.93    9.29 -0.00269  0.00224  0.00670  0.00218
Mark_66         2460460.42733     0.45   0.22   73.28   17.13 -0.00377  0.00226  0.00249  0.00220
Mark_66         2460460.42766     0.74   0.22   58.39    9.10 -0.00334  0.00226  0.00663  0.00220
Mark_67         2460459.40208     0.53   0.23   37.45   14.33  0.00138  0.00237  0.00512  0.00230
Mark_67         2460459.40238     0.36   0.22   22.54   23.42  0.00257  0.00228  0.00258  0.00222
Mark_67         2460459.40269     0.50   0.22   56.15   14.75 -0.00189  0.00228  0.00461  0.00220
Mark_67         2460459.40299     0.45   0.22   44.07   16.46  0.00015  0.00224  0.00449  0.00217
Mark_67         2460459.40329     0.37   0.22   43.27   21.35  0.00022  0.00223  0.00371  0.00216
Mark_67         2460459.40359     0.73   0.22   50.46    9.18 -0.00138  0.00224  0.00713  0.00218
Mark_67         2460459.40389     0.48   0.22   52.13   15.10 -0.00119  0.00225  0.00468  0.00218
Mark_67         2460459.40419     0.35   0.22   56.83   23.46 -0.00142  0.00225  0.00324  0.00217
Mark_67         2460459.40449     0.11   0.22   62.37   61.44 -0.00065  0.00226  0.00093  0.00220
Mark_68         2460459.40612     0.08   0.20   58.88   61.44 -0.00039  0.00207  0.00075  0.00201
Mark_68         2460459.40645     0.43   0.20   34.80   15.68  0.00150  0.00206  0.00404  0.00200
Mark_68         2460459.40677     0.43   0.20   46.28   15.70 -0.00019  0.00207  0.00433  0.00202
Mark_68         2460459.40709     0.23   0.20   13.22   61.44  0.00204  0.00206  0.00101  0.00200
Mark_68         2460459.40742     0.32   0.20   37.15   24.28  0.00086  0.00207  0.00305  0.00200
Mark_68         2460459.40774     0.34   0.21   -9.11   22.70  0.00323  0.00206 -0.00106  0.00200
Mark_68         2460459.40807     0.33   0.20   54.07   23.47 -0.00102  0.00206  0.00310  0.00201
Mark_68         2460459.40839     0.11   0.20   72.18   61.44 -0.00093  0.00207  0.00067  0.00200
Mark_68         2460459.40872     0.31   0.21   -0.11   25.96  0.00314  0.00207 -0.00001  0.00201
Mark_69         2460460.40309     0.59   0.18   39.10    8.99  0.00121  0.00178  0.00581  0.00175
Mark_69         2460460.40337     0.47   0.17   53.85   11.77 -0.00143  0.00178  0.00447  0.00174
Mark_69         2460460.40366     0.13   0.17   48.34   61.44 -0.00015  0.00178  0.00131  0.00173
Mark_69         2460460.40394     0.03   0.18   -1.46   61.44  0.00031  0.00179 -0.00002  0.00175
Mark_69         2460460.40421     0.36   0.18   47.65   16.57 -0.00033  0.00180  0.00359  0.00175
Mark_69         2460460.40449     0.24   0.17   45.50   61.44 -0.00004  0.00178  0.00244  0.00174
Mark_69         2460460.40477     0.32   0.17   55.46   19.72 -0.00113  0.00178  0.00297  0.00174
Mark_69         2460460.40505     0.20   0.17   43.12   61.44  0.00013  0.00178  0.00203  0.00174
Mark_70         2460459.29898     0.52   0.19   83.83   11.72 -0.00506  0.00192  0.00111  0.00187
Mark_70         2460459.29921     0.55   0.19   28.33   10.79  0.00301  0.00193  0.00458  0.00188
Mark_70         2460459.29944     0.33   0.19   36.75   20.48  0.00094  0.00192  0.00318  0.00187
Mark_70         2460459.29968     0.43   0.19   42.20   14.40  0.00042  0.00192  0.00429  0.00188
Mark_70         2460459.29991     0.26   0.19   28.52   61.44  0.00140  0.00191  0.00215  0.00187
Mark_70         2460459.30014     0.25   0.19   45.94   61.44 -0.00008  0.00192  0.00249  0.00187
Mark_70         2460459.30045     0.23   0.19   18.81   61.44  0.00181  0.00193  0.00140  0.00188
Mark_70         2460459.30068     0.16   0.19   32.01   61.44  0.00069  0.00193  0.00142  0.00189
Mark_70         2460459.30091     0.44   0.19   27.62   14.38  0.00249  0.00193  0.00359  0.00189
Mark_70         2460459.30115     0.26   0.19   62.00   61.44 -0.00147  0.00193  0.00218  0.00189
Mark_71         2460459.39778     0.15   0.22   33.38   61.44  0.00058  0.00226  0.00134  0.00220
Mark_71         2460459.39812     0.37   0.22   15.06   22.44  0.00319  0.00223  0.00185  0.00216
Mark_71         2460459.39847     0.20   0.22   45.19   61.44 -0.00001  0.00223  0.00201  0.00217
Mark_71         2460459.39882     0.37   0.22   74.59   21.95 -0.00319  0.00221  0.00190  0.00216
Mark_71         2460459.39916     0.29   0.22    7.10   61.44  0.00278  0.00223  0.00070  0.00219
Mark_71         2460459.39950     0.22   0.22   28.55   61.44  0.00121  0.00229  0.00186  0.00222
Mark_71         2460459.39985     0.26   0.22   63.11   61.44 -0.00154  0.00228  0.00211  0.00223
Mark_71         2460459.40020     0.12   0.24   15.57   61.44  0.00101  0.00246  0.00061  0.00242
Mark_72         2460459.35600     0.23   0.20   27.82   61.44  0.00127  0.00201  0.00186  0.00198
Mark_72         2460459.35633     0.40   0.20   29.13   17.28  0.00210  0.00203  0.00339  0.00198
Mark_72         2460459.35667     0.19   0.20   24.15   61.44  0.00124  0.00204  0.00140  0.00200
Mark_72         2460459.35734     0.50   0.20   31.35   12.92  0.00229  0.00204  0.00443  0.00199
Mark_72         2460459.35767     0.57   0.20    9.73   11.20  0.00536  0.00203  0.00189  0.00199
Mark_72         2460459.35802     0.51   0.20   36.16   12.53  0.00156  0.00203  0.00488  0.00200
Mark_72         2460459.35836     0.54   0.20   27.03   11.97  0.00315  0.00205  0.00435  0.00201
Mark_72         2460459.35869     0.63   0.20   20.56    9.87  0.00476  0.00204  0.00415  0.00200
Mark_72         2460459.35903     0.50   0.20    5.08   13.15  0.00496  0.00205  0.00089  0.00200
Mark_74         2460459.39373     0.26   0.25   32.64   61.44  0.00109  0.00258  0.00236  0.00249
Mark_74         2460459.39399     0.14   0.24   53.70   61.44 -0.00042  0.00242  0.00134  0.00237
Mark_74         2460459.39424     0.18   0.23   34.12   61.44  0.00065  0.00239  0.00163  0.00234
Mark_74         2460459.39450     0.30   0.24  -35.49   61.44  0.00098  0.00247 -0.00283  0.00241
Mark_74         2460459.39476     0.30   0.26  -76.36   61.44 -0.00269  0.00260 -0.00139  0.00253
Mark_74         2460459.39501     0.43   0.25    1.56   21.07  0.00429  0.00247  0.00023  0.00240
Mark_74         2460459.39527     0.15   0.24   39.35   61.44  0.00028  0.00243  0.00142  0.00236
Mark_74         2460459.39552     0.56   0.23   46.20   13.55 -0.00023  0.00238  0.00555  0.00231
Mark_74         2460459.39583     0.20   0.24   61.13   61.44 -0.00107  0.00248  0.00169  0.00242
Mark_74         2460459.39609     0.54   0.24   44.22   14.72  0.00015  0.00245  0.00536  0.00238
Mark_74         2460459.39634     0.37   0.24   36.26   25.99  0.00110  0.00248  0.00350  0.00242
Mark_75         2460461.37164     0.31   0.19   28.63   22.52  0.00168  0.00191  0.00261  0.00185
Mark_75         2460461.37199     0.67   0.18   50.56    8.36 -0.00128  0.00189  0.00653  0.00184
Mark_75         2460461.37234     0.54   0.19   46.32   10.77 -0.00025  0.00190  0.00536  0.00185
Mark_75         2460461.37269     0.13   0.19    1.74   61.44  0.00134  0.00189  0.00008  0.00184
Mark_75         2460461.37303     0.26   0.19   58.77   28.69 -0.00122  0.00190  0.00234  0.00184
Mark_75         2460461.37338     0.10   0.19  -13.41   61.44  0.00087  0.00192 -0.00044  0.00187
Mark_75         2460461.37373     0.20   0.19    8.65   61.44  0.00188  0.00191  0.00059  0.00185
Mark_75         2460461.37407     0.44   0.19   41.79   13.58  0.00050  0.00191  0.00441  0.00185
Mark_78         2460461.39094     0.62   0.17   11.08    8.48  0.00573  0.00174  0.00233  0.00169
Mark_78         2460461.39124     0.11   0.17    6.22   61.44  0.00110  0.00175  0.00024  0.00170
Mark_78         2460461.39154     0.22   0.17   63.30   61.44 -0.00130  0.00175  0.00176  0.00169
Mark_78         2460461.39184     0.16   0.17  -28.18   61.44  0.00088  0.00175 -0.00132  0.00170
Mark_78         2460461.39214     0.32   0.17   83.15   19.81 -0.00306  0.00174  0.00075  0.00169
Mark_78         2460461.39244     0.19   0.17   35.80   61.44  0.00061  0.00174  0.00183  0.00169
Mark_78         2460461.39274     0.22   0.17   -1.10   61.44  0.00221  0.00174 -0.00008  0.00169
Mark_78         2460461.39304     0.48   0.17   16.95   11.38  0.00397  0.00174  0.00267  0.00170
Mark_79         2460461.35240     0.26   0.19   26.96   61.44  0.00151  0.00197  0.00207  0.00191
Mark_79         2460461.35269     0.35   0.20   64.18   20.71 -0.00215  0.00200  0.00272  0.00195
Mark_79         2460461.35297     0.47   0.20   55.10   14.02 -0.00161  0.00204  0.00437  0.00198
Mark_79         2460461.35326     0.23   0.20   62.58   61.44 -0.00134  0.00204  0.00191  0.00199
Mark_79         2460461.35355     0.33   0.22   35.12   27.22  0.00111  0.00230  0.00310  0.00223
Mark_79         2460461.35384     0.17   0.20    5.77   61.44  0.00164  0.00203  0.00033  0.00198
Mark_79         2460461.35413     0.31   0.22   37.92   28.55  0.00076  0.00223  0.00301  0.00217
Mark_79         2460461.35442     0.44   0.20   41.56   15.28  0.00053  0.00208  0.00442  0.00203
Mark_83         2460460.30352     0.79   0.18   28.85    6.96  0.00421  0.00188  0.00666  0.00183
Mark_83         2460460.30381     0.38   0.19   64.66   16.91 -0.00241  0.00190  0.00294  0.00185
Mark_83         2460460.30410     0.20   0.18   53.84   61.44 -0.00062  0.00188  0.00194  0.00184
Mark_83         2460460.30453     0.57   0.19   60.86   10.06 -0.00301  0.00190  0.00488  0.00185
Mark_83         2460460.30481     0.19   0.19   24.22   61.44  0.00124  0.00190  0.00140  0.00185
Mark_83         2460460.30510     0.42   0.19   37.31   14.60  0.00112  0.00190  0.00407  0.00186
Mark_83         2460460.30574     0.65   0.19   16.87    8.79  0.00539  0.00189  0.00360  0.00184
Mark_83         2460460.30603     0.54   0.19   27.69   10.73  0.00308  0.00190  0.00446  0.00185
Mark_84         2460460.31796     0.35   0.07   59.95    6.32 -0.00173  0.00075  0.00301  0.00074
Mark_84         2460460.31818     0.25   0.08   66.67    9.32 -0.00169  0.00076  0.00179  0.00074
Mark_84         2460460.31840     0.33   0.08   63.91    6.88 -0.00201  0.00077  0.00259  0.00075
Mark_84         2460460.31862     0.35   0.08   51.28    6.29 -0.00077  0.00078  0.00345  0.00075
Mark_84         2460460.31884     0.41   0.07   70.58    5.31 -0.00322  0.00076  0.00259  0.00073
Mark_84         2460460.31906     0.23   0.07   37.19    9.74  0.00063  0.00076  0.00226  0.00074
Mark_84         2460460.31928     0.28   0.07   46.90    7.78 -0.00019  0.00075  0.00281  0.00073
Mark_84         2460460.31950     0.19   0.07   57.21   12.13 -0.00080  0.00075  0.00176  0.00073
Mark_85         2460426.36097     0.14   0.23   16.39   61.44  0.00114  0.00230  0.00073  0.00227
Mark_85         2460426.36120     0.57   0.23   68.71   12.78 -0.00421  0.00228  0.00386  0.00225
Mark_85         2460426.36144     0.73   0.22   49.99    9.12 -0.00127  0.00222  0.00719  0.00218
Mark_85         2460426.36167     0.08   0.22   83.49   61.44 -0.00073  0.00224  0.00017  0.00219
Mark_85         2460426.36190     0.46   0.22   30.30   15.88  0.00228  0.00224  0.00405  0.00217
Mark_85         2460426.36213     0.24   0.22   48.89   61.44 -0.00032  0.00227  0.00233  0.00219
Mark_85         2460426.36236     0.58   0.22   32.08   11.99  0.00251  0.00221  0.00518  0.00216
Mark_85         2460426.36259     0.35   0.22   30.47   24.47  0.00168  0.00225  0.00303  0.00219
Mark_89         2460438.38756     0.63   0.22   47.08   11.09 -0.00046  0.00229  0.00632  0.00224
Mark_89         2460438.38787     0.60   0.22   32.76   11.72  0.00250  0.00229  0.00549  0.00222
Mark_89         2460438.38818     0.65   0.22   60.83   10.87 -0.00339  0.00228  0.00550  0.00223
Mark_89         2460438.38850     0.34   0.23    7.86   26.13  0.00330  0.00228  0.00093  0.00222
Mark_89         2460438.38912     0.44   0.23   63.86   17.90 -0.00268  0.00228  0.00347  0.00223
Mark_89         2460438.38943     0.40   0.23  -25.00   20.29  0.00259  0.00229 -0.00308  0.00223
Mark_89         2460438.38975     0.39   0.22   61.32   21.12 -0.00210  0.00228  0.00327  0.00222
Mark_89         2460438.39006     0.49   0.23    5.24   15.79  0.00481  0.00229  0.00089  0.00223
Mark_92         2460432.36466     0.76   0.29  -37.27   12.16  0.00202  0.00295 -0.00732  0.00289
Mark_92         2460432.36499     0.53   0.30    2.92   21.19  0.00525  0.00305  0.00054  0.00300
Mark_92         2460432.36531     0.34   0.30   20.37   61.44  0.00259  0.00306  0.00223  0.00300
Mark_92         2460432.36564     0.33   0.29   25.25   61.44  0.00209  0.00298  0.00253  0.00293
Mark_92         2460432.36596     0.73   0.31   12.22   13.96  0.00661  0.00310  0.00300  0.00305
Mark_92         2460432.36628     0.20   0.30   25.63   61.44  0.00126  0.00304  0.00157  0.00299
Mark_92         2460432.36661     0.60   0.29   30.50   16.57  0.00289  0.00293  0.00521  0.00288
Mark_92         2460432.36693     0.51   0.28    2.30   20.27  0.00504  0.00283  0.00041  0.00279
Mark_92         2460432.36726     0.35   0.27  -14.68   61.44  0.00306  0.00272 -0.00172  0.00267
Mark_92         2460432.36762     0.51   0.29  -19.67   21.04  0.00394  0.00295 -0.00323  0.00289
Mark_92         2460432.36794     0.66   0.30   31.60   15.01  0.00300  0.00304  0.00593  0.00298
Mark_92         2460432.36826     0.03   0.29   87.70   61.44 -0.00031  0.00290  0.00002  0.00284
Mark_92         2460432.36859     0.52   0.27   47.91   18.37 -0.00053  0.00279  0.00520  0.00273
Mark_95         2460432.31118     0.04   0.27  -17.36   61.44  0.00030  0.00273 -0.00021  0.00267
Mark_95         2460432.31160     0.12   0.25   39.75   61.44  0.00023  0.00255  0.00122  0.00249
Mark_95         2460432.31189     0.79   0.25   28.52    9.56  0.00431  0.00250  0.00664  0.00245
Mark_95         2460432.31218     0.45   0.24   37.89   18.96  0.00111  0.00246  0.00437  0.00241
Mark_95         2460432.31247     0.27   0.24   53.56   61.44 -0.00079  0.00248  0.00255  0.00242
Mark_95         2460432.31275     0.26   0.24   22.54   61.44  0.00185  0.00247  0.00185  0.00240
Mark_95         2460432.31315     0.76   0.24   44.87    9.74  0.00003  0.00244  0.00755  0.00239
Mark_95         2460432.31344     0.29   0.24   15.36   61.44  0.00246  0.00245  0.00146  0.00239
Mark_95         2460432.31373     0.27   0.24    9.12   61.44  0.00255  0.00243  0.00084  0.00237
Mark_95         2460432.31402     0.20   0.24  -16.78   61.44  0.00169  0.00241 -0.00112  0.00234
Mark_96         2460460.41453     0.54   0.13   47.53    7.22 -0.00047  0.00133  0.00535  0.00130
Mark_96         2460460.41481     0.52   0.13   71.69    7.60 -0.00418  0.00133  0.00310  0.00130
Mark_96         2460460.41550     0.43   0.13   66.55    9.48 -0.00297  0.00136  0.00318  0.00133
Mark_96         2460460.41579     0.47   0.13   49.12    8.42 -0.00067  0.00135  0.00466  0.00131
Mark_96         2460460.41608     0.46   0.13   67.98    8.94 -0.00327  0.00135  0.00317  0.00132
Mark_96         2460460.41637     0.47   0.13   55.27    8.56 -0.00164  0.00135  0.00439  0.00132
Mark_96         2460460.41666     0.44   0.13   62.37    9.23 -0.00251  0.00135  0.00362  0.00132
Mark_99         2460426.36456     0.54   0.31   19.46   21.00  0.00423  0.00317  0.00342  0.00306
Mark_99         2460426.36481     0.17   0.32  -19.81   61.44  0.00133  0.00327 -0.00110  0.00314
Mark_99         2460426.36507     0.08   0.32  -39.16   61.44  0.00016  0.00322 -0.00078  0.00320
Mark_99         2460426.36532     0.38   0.32    0.63   61.44  0.00384  0.00319  0.00008  0.00317
Mark_99         2460426.36558     0.29   0.32  -74.29   61.44 -0.00245  0.00324 -0.00150  0.00317
Mark_99         2460426.36583     0.06   0.33   80.42   61.44 -0.00055  0.00335  0.00019  0.00324
Mark_99         2460426.36609     0.22   0.32  -67.75   61.44 -0.00154  0.00323 -0.00152  0.00310
Mark_104        2460460.38067     0.45   0.14   34.85    9.75  0.00155  0.00143  0.00418  0.00141
Mark_104        2460460.38091     0.18   0.14   50.08   61.44 -0.00032  0.00144  0.00178  0.00141
Mark_104        2460460.38116     0.26   0.14   30.65   20.08  0.00123  0.00144  0.00224  0.00142
Mark_104        2460460.38140     0.41   0.14   72.06   11.01 -0.00330  0.00144  0.00239  0.00142
Mark_104        2460460.38164     0.34   0.15   46.58   14.25 -0.00019  0.00147  0.00335  0.00145
Mark_104        2460460.38189     0.37   0.14   61.62   12.67 -0.00200  0.00146  0.00305  0.00143
Mark_104        2460460.38213     0.29   0.15   67.31   17.77 -0.00202  0.00148  0.00205  0.00146
Mark_105        2460459.35277     0.48   0.13   38.51    7.96  0.00109  0.00131  0.00472  0.00128
Mark_105        2460459.35300     0.15   0.13   16.19   61.44  0.00126  0.00131  0.00080  0.00128
Mark_105        2460459.35323     0.54   0.13   32.47    7.14  0.00227  0.00131  0.00486  0.00128
Mark_105        2460459.35346     0.29   0.13   45.59   15.03 -0.00006  0.00132  0.00286  0.00129
Mark_105        2460459.35369     0.24   0.13   68.41   19.04 -0.00177  0.00132  0.00166  0.00128
Mark_105        2460459.35392     0.09   0.13   65.95   61.44 -0.00062  0.00131  0.00069  0.00128
Mark_105        2460459.35422     0.52   0.13   43.23    7.42  0.00032  0.00131  0.00515  0.00128
Mark_105        2460459.35446     0.14   0.13    0.92   61.44  0.00139  0.00131  0.00004  0.00128
Mark_105        2460459.35469     0.25   0.13   47.03   17.79 -0.00018  0.00130  0.00250  0.00128
Mark_106        2460461.38602     0.62   0.21   44.58   10.29  0.00009  0.00211  0.00618  0.00205
Mark_106        2460461.38639     0.32   0.21   25.40   25.05  0.00204  0.00212  0.00250  0.00206
Mark_106        2460461.38676     0.29   0.21   35.06   61.44  0.00099  0.00210  0.00273  0.00205
Mark_106        2460461.38713     0.05   0.21  -85.16   61.44 -0.00050  0.00210 -0.00009  0.00204
Mark_106        2460461.38751     0.73   0.21   29.65    8.51  0.00374  0.00210  0.00629  0.00204
Mark_106        2460461.38788     0.28   0.21   38.09   61.44  0.00067  0.00212  0.00271  0.00207
Mark_106        2460461.38825     0.06   0.20  -52.20   61.44 -0.00015  0.00210 -0.00058  0.00204
Mark_106        2460461.38862     0.38   0.21   34.77   19.02  0.00134  0.00211  0.00359  0.00205
Mark_110        2460438.38258     0.40   0.22   16.81   20.41  0.00329  0.00224  0.00219  0.00219
Mark_110        2460438.38289     0.33   0.22   38.74   25.87  0.00072  0.00224  0.00325  0.00219
Mark_110        2460438.38321     0.96   0.22   53.66    6.79 -0.00286  0.00223  0.00917  0.00219
