# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_9          2460426.42222     0.11   0.25  -16.83   61.44  0.00093  0.00255 -0.00062  0.00245
Mark_9          2460426.42251     0.37   0.24  -39.59   24.56  0.00070  0.00247 -0.00366  0.00237
Mark_9          2460426.42307     0.07   0.27   49.33   61.44 -0.00011  0.00281  0.00071  0.00273
Mark_9          2460426.42336     0.12   0.26  -41.95   61.44  0.00012  0.00270 -0.00115  0.00260
Mark_10         2460459.30337     1.68   0.22   63.36    3.81 -0.01004  0.00227  0.01346  0.00218
Mark_10         2460459.30362     1.12   0.22   65.61    5.78 -0.00735  0.00224  0.00839  0.00215
Mark_10         2460459.30388     1.63   0.22   55.84    3.90 -0.00604  0.00226  0.01519  0.00219
Mark_10         2460459.30413     1.33   0.22   69.64    4.83 -0.01008  0.00223  0.00868  0.00216
Mark_10         2460459.30439     1.20   0.22   71.70    5.42 -0.00961  0.00223  0.00713  0.00217
Mark_10         2460459.30464     1.52   0.22   56.05    4.14 -0.00574  0.00225  0.01413  0.00216
Mark_12         2460426.35190     1.76   0.29  -88.78    4.88 -0.01757  0.00294 -0.00075  0.00283
Mark_12         2460426.35215     1.63   0.31   84.50    5.64 -0.01599  0.00313  0.00311  0.00304
Mark_12         2460426.35241     0.79   0.28   23.31   11.07  0.00544  0.00286  0.00575  0.00274
Mark_12         2460426.35266     0.76   0.27   14.84   11.42  0.00658  0.00277  0.00375  0.00267
Mark_12         2460426.35292     0.94   0.27   14.20    8.62  0.00827  0.00269  0.00447  0.00261
Mark_12         2460426.35317     0.99   0.27   -4.88    8.20  0.00972  0.00268 -0.00167  0.00261
Mark_12         2460426.35343     2.57   0.29   -3.58    3.29  0.02554  0.00293 -0.00320  0.00282
Mark_13         2460432.30282     0.85   0.47  -11.91   19.66  0.00782  0.00470 -0.00345  0.00460
Mark_13         2460432.30311     1.00   0.73  -12.70   61.44  0.00899  0.00727 -0.00427  0.00724
Mark_13         2460432.30340     2.00   0.53   17.00    7.89  0.01661  0.00526  0.01120  0.00525
Mark_13         2460432.30369     1.96   0.64   25.73   10.06  0.01223  0.00642  0.01535  0.00637
Mark_13         2460432.30398     0.30   0.60  -78.72   61.44 -0.00275  0.00599 -0.00114  0.00589
Mark_13         2460432.30427     1.38   0.46   19.91   10.39  0.01062  0.00466  0.00885  0.00458
Mark_13         2460432.30456     0.89   0.48   10.90   18.82  0.00830  0.00477  0.00332  0.00467
Mark_13         2460432.30485     0.82   0.50   -7.70   22.76  0.00789  0.00496 -0.00217  0.00491
Mark_13         2460432.30514     0.90   0.35   12.85   12.36  0.00809  0.00348  0.00389  0.00342
