#Filename  optimal_apeture
26_Mark_236_00_R_18.00_2024_05_28-20_11_43.fits   8.0
26_Mark_236_01_R_18.00_2024_05_28-20_12_11.fits   8.0
26_Mark_236_02_R_18.00_2024_05_28-20_12_39.fits   8.0
26_Mark_236_03_R_18.00_2024_05_28-20_13_07.fits   8.0
26_Mark_236_04_R_18.00_2024_05_28-20_13_35.fits   8.0
26_Mark_236_05_R_18.00_2024_05_28-20_14_03.fits   8.0
26_Mark_236_06_R_18.00_2024_05_28-20_14_31.fits   8.5
26_Mark_236_07_R_18.00_2024_05_28-20_14_59.fits   8.5
26_Mark_236_08_R_18.00_2024_05_28-20_15_57.fits   8.0
26_Mark_236_09_R_18.00_2024_05_28-20_16_25.fits   8.0
