#Filename  optimal_apeture
5_Mark_95_00_R_15.00_2024_05_01-19_28_06.fits   7.5
5_Mark_95_01_R_15.00_2024_05_01-19_28_42.fits   7.0
5_Mark_95_02_R_15.00_2024_05_01-19_29_07.fits   7.5
5_Mark_95_03_R_15.00_2024_05_01-19_29_32.fits   8.0
5_Mark_95_04_R_15.00_2024_05_01-19_29_57.fits   7.5
5_Mark_95_05_R_15.00_2024_05_01-19_30_22.fits   8.0
5_Mark_95_06_R_15.00_2024_05_01-19_30_56.fits   8.0
5_Mark_95_07_R_15.00_2024_05_01-19_31_21.fits   7.5
5_Mark_95_08_R_15.00_2024_05_01-19_31_46.fits   7.5
5_Mark_95_09_R_15.00_2024_05_01-19_32_11.fits   7.5
