#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_112        2460459.42239   0.41   0.06   50.07    4.31 -0.00072  0.00076  0.00402  0.00060
Mark_116        2460459.32306   0.31   0.04   28.18    3.72  0.00170  0.00050  0.00255  0.00033
Mark_118        2460461.40406   0.42   0.06   58.32    3.84 -0.00189  0.00068  0.00377  0.00052
Mark_119        2460460.43713   0.31   0.07   39.32    6.83  0.00062  0.00058  0.00307  0.00072
Mark_121        2460460.33245   0.45   0.04   52.49    2.78 -0.00118  0.00038  0.00439  0.00044
Mark_122        2460432.38738   0.19   0.08   30.62   13.38  0.00090  0.00078  0.00165  0.00077
Mark_123        2460461.33009   0.41   0.06   36.28    4.15  0.00122  0.00052  0.00390  0.00059
Mark_124        2460460.29936   0.68   0.05   45.70    2.31 -0.00017  0.00079  0.00684  0.00055
Mark_127        2460459.42650   0.17   0.06    3.77   10.59  0.00173  0.00060  0.00023  0.00036
Mark_128        2460461.39760   0.28   0.06   27.99    6.37  0.00157  0.00057  0.00232  0.00062
Mark_131        2460459.41224   0.14   0.05   34.52   10.54  0.00050  0.00055  0.00132  0.00047
Mark_132        2460460.38516   0.50   0.06   55.95    3.38 -0.00186  0.00077  0.00463  0.00055
Mark_141        2460460.32760   0.30   0.05   50.80    4.96 -0.00061  0.00022  0.00295  0.00052
Mark_144        2460461.40938   0.27   0.06   67.91    6.98 -0.00194  0.00062  0.00188  0.00064
Mark_149        2460461.36106   0.21   0.04   52.00    5.06 -0.00052  0.00046  0.00207  0.00036
Mark_150        2460460.41163   0.28   0.04   61.11    4.48 -0.00147  0.00038  0.00233  0.00044
Mark_151        2460461.43247   0.27   0.05   55.23    5.46 -0.00093  0.00047  0.00250  0.00050
Mark_154        2460461.42809   0.38   0.06   56.90    4.54 -0.00154  0.00083  0.00349  0.00054
Mark_163        2460426.36879   0.79   0.06   34.57    2.23  0.00282  0.00034  0.00741  0.00065
Mark_164        2460426.37258   0.59   0.09   42.90    4.15  0.00044  0.00159  0.00593  0.00084
Mark_166        2460426.37630   0.28   0.08   45.84    8.08 -0.00008  0.00055  0.00283  0.00076
Mark_167        2460459.33816   0.30   0.05   47.64    4.85 -0.00028  0.00063  0.00299  0.00050
Mark_168        2460460.38925   0.10   0.06   86.35   20.49 -0.00097  0.00055  0.00012  0.00082
Mark_171        2460459.38780   0.17   0.05   16.10    9.26  0.00142  0.00043  0.00090  0.00068
Mark_182        2460459.32987   0.16   0.06   24.92   10.80  0.00104  0.00056  0.00123  0.00055
Mark_183        2460461.36847   0.42   0.05   47.56    3.41 -0.00038  0.00044  0.00422  0.00050
Mark_184        2460459.33311   0.19   0.07   30.66   12.24  0.00092  0.00069  0.00168  0.00075
Mark_188        2460426.38819   0.26   0.10   42.97   12.99  0.00018  0.00093  0.00255  0.00103
Mark_189        2460460.33664   0.25   0.06   45.65    6.90 -0.00006  0.00045  0.00250  0.00058
Mark_191        2460438.32729   0.40   0.04   69.96    2.93 -0.00305  0.00037  0.00256  0.00044
Mark_192        2460459.37755   0.26   0.03   68.21    2.80 -0.00188  0.00020  0.00179  0.00030
Mark_193        2460460.37663   0.57   0.09   62.81    4.35 -0.00332  0.00035  0.00463  0.00102
Mark_198        2460459.29594   0.45   0.07   48.40    4.89 -0.00053  0.00100  0.00444  0.00074
Mark_200        2460438.31478   0.26   0.06   49.52    7.05 -0.00041  0.00103  0.00257  0.00060
Mark_206        2460460.42962   0.25   0.05   66.45    5.41 -0.00169  0.00055  0.00182  0.00036
Mark_207        2460461.36448   0.25   0.04   72.11    4.21 -0.00204  0.00031  0.00147  0.00045
Mark_212        2460426.39333   0.11   0.13   16.27   61.44  0.00093  0.00126  0.00059  0.00126
Mark_216        2460438.37881   0.29   0.07   23.66    7.13  0.00194  0.00082  0.00210  0.00055
Mark_217        2460461.41376   0.30   0.06   48.83    6.13 -0.00039  0.00034  0.00293  0.00062
Mark_219        2460432.33096   0.19   0.08   36.74   13.44  0.00055  0.00135  0.00186  0.00073
Mark_221        2460460.39268   0.45   0.05   55.29    3.31 -0.00158  0.00059  0.00421  0.00050
Mark_222        2460460.36897   0.30   0.05   60.44    4.58 -0.00156  0.00050  0.00260  0.00047
Mark_223        2460459.32691   0.28   0.03   50.18    3.13 -0.00051  0.00065  0.00280  0.00029
Mark_225        2460460.40006   0.26   0.08   37.82    9.51  0.00064  0.00055  0.00250  0.00081
Mark_230        2460460.37251   0.54   0.07   75.11    3.74 -0.00467  0.00065  0.00267  0.00082
Mark_233        2460432.37180   0.15   0.08   49.43   18.30 -0.00023  0.00085  0.00150  0.00079
Mark_234        2460460.42097   0.19   0.05   60.23    7.06 -0.00098  0.00052  0.00167  0.00044
Mark_236        2460459.34300   0.20   0.06   15.95    9.60  0.00170  0.00064  0.00106  0.00059
Mark_238        2460460.32343   0.22   0.10   60.95   15.92 -0.00117  0.00105  0.00187  0.00103
Mark_240        2460460.31032   0.23   0.04   32.60    5.28  0.00099  0.00044  0.00213  0.00042
Mark_242        2460459.39128   0.23   0.09   66.91   11.86 -0.00158  0.00079  0.00164  0.00091
Mark_243        2460438.30622   0.40   0.07   47.94    4.72 -0.00041  0.00086  0.00402  0.00065
Mark_245        2460438.33731   0.86   0.04   63.67    1.20 -0.00520  0.00033  0.00682  0.00038
Mark_248        2460432.32480   0.36   0.09   37.55    7.45  0.00094  0.00097  0.00353  0.00090
Mark_256        2460432.34369   0.51   0.10   55.28    5.88 -0.00178  0.00126  0.00475  0.00097
Mark_259        2460461.31939   0.51   0.07   52.25    3.96 -0.00128  0.00067  0.00493  0.00070
Mark_261        2460431.28917   0.16   0.13  -60.91   61.44 -0.00083  0.00146 -0.00134  0.00119
Mark_263        2460460.40775   0.08   0.04   76.24   19.28 -0.00068  0.00044  0.00036  0.00034
Mark_264        2460431.27584   0.40   0.14   34.23   10.82  0.00145  0.00054  0.00368  0.00146
Mark_269        2460460.34099   0.61   0.08   59.37    3.77 -0.00293  0.00046  0.00534  0.00087
Mark_272        2460461.33587   0.28   0.06   46.35    6.77 -0.00013  0.00071  0.00283  0.00065
Mark_273        2460432.31800   0.25   0.07   43.83    8.03  0.00010  0.00085  0.00245  0.00065
Mark_274        2460459.30888   0.44   0.06   84.61    3.88 -0.00428  0.00058  0.00082  0.00065
Mark_275        2460459.31923   0.16   0.07   12.74   15.00  0.00147  0.00072  0.00070  0.00076
Mark_276        2460461.34036   0.32   0.04   46.02    3.68 -0.00011  0.00043  0.00316  0.00040
Mark_277        2460432.33698   0.25   0.07   40.03    8.05  0.00043  0.00092  0.00246  0.00066
Mark_281        2460459.37435   0.31   0.10   52.86    9.34 -0.00085  0.00083  0.00302  0.00097
Mark_282        2460460.36083   0.38   0.09   61.70    6.81 -0.00207  0.00075  0.00314  0.00091
Mark_284        2460459.41745   0.28   0.09   56.11   10.31 -0.00105  0.00152  0.00257  0.00078
Mark_285        2460459.36170   0.30   0.08   53.63    7.91 -0.00088  0.00100  0.00283  0.00076
Mark_289        2460460.39614   0.24   0.09   30.95   12.21  0.00111  0.00081  0.00209  0.00093
Mark_290        2460460.36506   0.23   0.06   50.81    7.49 -0.00046  0.00020  0.00223  0.00058
