Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec
Mark_0,2460507.29355,1.83,0.07,65.16,1.11,-0.01187,0.00086,0.01399,0.00058,194.58873,21.12631
Mark_1,2460508.28233,1.1,0.04,66.43,1.08,-0.00747,0.00037,0.00805,0.00045,194.20181,21.14241
Mark_3,2460426.4369,0.38,0.12,67.14,9.4,-0.00267,0.00119,0.00274,0.00117,194.76712,21.33237
Mark_4,2460426.43999,1.16,0.69,60.89,21.96,-0.00614,0.0013,0.0099,0.00807,195.19397,21.0621
Mark_5,2460426.43407,0.22,0.13,19.82,21.54,0.00171,0.00135,0.00142,0.00122,193.23315,21.16364
Mark_7,2460461.37717,0.48,0.06,46.04,3.54,-0.00017,0.00044,0.00482,0.00059,193.25519,21.4134
Mark_8,2460426.41826,0.62,0.59,-35.05,61.44,0.00211,0.00104,-0.00584,0.00622,187.88229,20.72047
Mark_9,2460426.42202,0.13,0.09,-26.22,27.62,0.00077,0.0008,-0.00101,0.00091,188.00117,20.81871
Mark_10,2460459.30401,1.38,0.11,63.07,2.37,-0.00814,0.00075,0.01115,0.0013,179.84392,15.83708
Mark_12,2460426.35266,0.39,0.48,12.61,61.44,0.0035,0.00531,0.00165,0.00121,173.47864,16.05583
Mark_13,2460432.30412,0.81,0.17,9.7,6.36,0.0076,0.00168,0.00267,0.00208,174.02271,15.99841
Mark_14,2460459.34708,0.55,0.12,28.25,6.76,0.00301,0.00195,0.00455,0.00075,190.49023,20.28698
Mark_15,2460426.44318,0.65,0.19,80.88,9.02,-0.00618,0.00199,0.00204,0.00116,195.18161,21.12106
Mark_16,2460426.42582,0.86,0.37,4.49,14.15,0.00851,0.00375,0.00134,0.00089,189.71344,20.96878
Mark_17,2460459.3808,0.16,0.08,54.4,17.17,-0.00053,0.00154,0.00156,0.00069,196.81131,20.59822
Mark_18,2460426.42901,0.34,0.05,48.95,3.89,-0.00047,0.00066,0.00338,0.00045,190.53494,20.30323
Mark_19,2460426.4314,0.32,0.07,51.99,5.95,-0.00078,0.00057,0.00313,0.00066,192.17618,21.61724
Mark_20,2460459.3841,0.17,0.04,49.28,7.33,-0.00026,0.00046,0.0017,0.00042,197.4529,21.41339
Mark_21,2460460.4186,0.43,0.06,57.93,4.36,-0.00187,0.00043,0.00385,0.00068,198.6741,20.79252
Mark_29,2460426.34069,0.62,0.09,42.76,4.47,0.00048,0.0008,0.00614,0.00095,172.79477,15.85788
Mark_30,2460432.37998,0.4,0.09,20.73,6.28,0.00302,0.00101,0.00267,0.0006,184.34332,18.37268
Mark_33,2460461.41779,0.24,0.07,14.43,8.69,0.00213,0.00068,0.00117,0.00074,196.11522,22.33433
Mark_34,2460426.34805,0.34,0.05,55.96,4.67,-0.00126,0.0004,0.00314,0.00056,173.76079,16.01056
Mark_35,2460438.31047,0.45,0.06,34.48,4.1,0.00162,0.00095,0.00423,0.00058,178.98677,15.56845
Mark_36,2460459.36682,0.17,0.06,49.55,11.77,-0.00027,0.00065,0.00167,0.00063,194.58836,20.00117
Mark_41,2460459.31419,0.35,0.09,48.28,8.11,-0.0004,0.00071,0.00349,0.00095,179.99248,16.91588
Mark_43,2460426.35778,0.51,0.26,-39.03,17.94,0.00104,0.00295,-0.00494,0.00258,173.3679,15.93255
Mark_44,2460438.44333,0.25,0.04,54.7,4.78,-0.00082,0.00051,0.00234,0.00039,198.84341,21.31182
Mark_45,2460438.43699,0.08,0.03,36.22,12.62,0.00024,0.00037,0.00077,0.00031,198.83101,21.90661
Mark_47,2460461.31411,0.23,0.07,40.69,9.91,0.00034,0.00067,0.00223,0.00072,184.61546,19.20315
Mark_48,2460460.4327,0.37,0.07,64.69,5.59,-0.00235,0.00078,0.00286,0.00065,199.35889,21.29277
Mark_51,2460461.38112,0.08,0.06,43.31,28.21,5e-05,0.00075,0.00082,0.00057,194.34177,21.59279
Mark_53,2460461.42287,0.12,0.06,-24.45,19.16,0.00078,0.00042,-0.00089,0.00076,196.76332,22.12418
Mark_54,2460461.35736,0.3,0.04,49.34,4.28,-0.00046,0.00022,0.003,0.00045,187.90747,18.47875
Mark_55,2460438.32266,0.52,0.06,52.83,3.5,-0.0014,0.00061,0.00499,0.00063,179.33209,15.55869
Mark_56,2460460.35637,0.33,0.03,53.77,2.62,-0.00101,0.00037,0.00319,0.0003,185.62071,19.46568
Mark_59,2460481.35127,0.1,0.06,44.17,19.8,3e-05,0.00062,0.00101,0.00056,195.59358,20.45045
Mark_60,2460460.31475,0.23,0.03,47.74,3.82,-0.00022,0.00067,0.00232,0.0003,184.56752,18.84387
Mark_64,2460460.34562,0.4,0.06,42.75,4.22,0.00031,0.0005,0.00399,0.00058,185.18335,18.78271
Mark_65,2460431.28145,0.6,0.01,44.75,0.65,5e-05,0.00069,0.00597,0.00013,173.07893,15.94011
Mark_66,2460460.42529,0.52,0.07,62.08,3.92,-0.0029,0.00074,0.00428,0.00068,199.0128,20.92477
Mark_67,2460459.40329,0.41,0.05,46.8,3.9,-0.00025,0.00046,0.00405,0.00055,199.27654,21.0103
Mark_68,2460459.40742,0.2,0.06,31.28,8.96,0.00091,0.00052,0.00176,0.0006,199.40179,21.88462
Mark_69,2460460.40407,0.28,0.06,46.81,6.3,-0.00018,0.00027,0.00283,0.0006,197.53357,20.926
Mark_70,2460459.30005,0.27,0.04,40.55,4.12,0.00041,0.00069,0.00264,0.00037,179.81372,16.97037
Mark_71,2460459.39899,0.16,0.03,36.21,5.04,0.00049,0.0007,0.00156,0.0002,198.32007,21.59244
Mark_72,2460459.35757,0.42,0.05,22.81,3.41,0.00296,0.00052,0.00303,0.00048,192.54263,20.07625
Mark_74,2460459.39503,0.18,0.07,38.81,13.04,0.00038,0.00049,0.00174,0.00073,198.03603,21.6534
Mark_75,2460461.37286,0.27,0.08,40.4,9.45,0.00044,0.00041,0.00269,0.00085,191.89113,20.23809
Mark_78,2460461.39199,0.16,0.08,19.44,15.98,0.00127,0.00092,0.00102,0.00045,195.46664,21.80978
Mark_79,2460461.35341,0.27,0.04,44.64,4.75,3e-05,0.0005,0.00272,0.00044,187.62355,18.77921
Mark_83,2460460.30471,0.39,0.06,36.61,4.51,0.00113,0.001,0.00375,0.00056,184.34114,19.05303
Mark_84,2460460.31873,0.28,0.02,57.87,2.5,-0.00122,0.00039,0.00253,0.00019,184.5835,19.01308
Mark_85,2460426.36178,0.33,0.08,43.75,6.76,0.00015,0.00074,0.00333,0.00076,174.02637,15.67919
Mark_89,2460438.38881,0.29,0.1,39.36,11.28,0.00057,0.00103,0.00285,0.00104,185.9707,19.05754
Mark_92,2460432.36662,0.3,0.06,10.51,6.1,0.00281,0.00055,0.00108,0.00098,184.13316,19.0139
Mark_95,2460432.31264,0.29,0.08,30.63,8.13,0.00139,0.00045,0.00253,0.00085,174.23676,16.17048
Mark_96,2460460.41568,0.45,0.04,59.88,2.29,-0.00225,0.00048,0.00393,0.00031,198.50754,21.06732
Mark_99,2460426.36532,0.08,0.09,-6.09,61.44,0.00074,0.0009,-0.00016,0.0006,173.92136,15.51353
Mark_104,2460460.3814,0.28,0.03,52.35,3.37,-0.00071,0.00063,0.00272,0.0003,195.82549,20.35185
Mark_105,2460459.35372,0.26,0.06,40.47,6.91,0.00041,0.00038,0.00259,0.00061,191.74118,21.92971
Mark_106,2460461.38732,0.31,0.08,35.31,7.73,0.00103,0.00045,0.00292,0.00083,194.83186,22.69265
Mark_110,2460438.38383,0.43,0.08,46.31,5.59,-0.0002,0.00078,0.00429,0.00082,185.77832,18.27509
Mark_112,2460459.42239,0.41,0.06,50.07,4.31,-0.00072,0.00076,0.00402,0.0006,199.77525,20.8951
Mark_116,2460459.32306,0.31,0.04,28.18,3.72,0.0017,0.0005,0.00255,0.00033,184.40889,19.57923
Mark_118,2460461.40406,0.42,0.06,58.32,3.84,-0.00189,0.00068,0.00377,0.00052,195.64954,20.84596
Mark_119,2460460.43713,0.31,0.07,39.32,6.83,0.00062,0.00058,0.00307,0.00072,199.39124,20.75375
Mark_121,2460460.33245,0.45,0.04,52.49,2.78,-0.00118,0.00038,0.00439,0.00044,184.94878,18.51457
Mark_122,2460432.38738,0.19,0.08,30.62,13.38,0.0009,0.00078,0.00165,0.00077,184.34711,19.69882
Mark_123,2460461.33009,0.41,0.06,36.28,4.15,0.00122,0.00052,0.0039,0.00059,185.54079,19.79519
Mark_124,2460460.29936,0.68,0.05,45.7,2.31,-0.00017,0.00079,0.00684,0.00055,180.18828,16.48499
Mark_127,2460459.4265,0.17,0.06,3.77,10.59,0.00173,0.0006,0.00023,0.00036,199.97675,21.85439
Mark_128,2460461.3976,0.28,0.06,27.99,6.37,0.00157,0.00057,0.00232,0.00062,195.46991,20.37368
Mark_131,2460459.41224,0.14,0.05,34.52,10.54,0.0005,0.00055,0.00132,0.00047,199.4996,21.72981
Mark_132,2460460.38516,0.5,0.06,55.95,3.38,-0.00186,0.00077,0.00463,0.00055,196.40727,21.11963
Mark_141,2460460.3276,0.3,0.05,50.8,4.96,-0.00061,0.00022,0.00295,0.00052,184.92867,18.98709
Mark_144,2460461.40938,0.27,0.06,67.91,6.98,-0.00194,0.00062,0.00188,0.00064,195.69051,20.66197
Mark_149,2460461.36106,0.21,0.04,52.0,5.06,-0.00052,0.00046,0.00207,0.00036,187.94492,18.38639
Mark_150,2460460.41163,0.28,0.04,61.11,4.48,-0.00147,0.00038,0.00233,0.00044,198.06357,21.00644
Mark_151,2460461.43247,0.27,0.05,55.23,5.46,-0.00093,0.00047,0.0025,0.0005,197.65523,20.61476
Mark_154,2460461.42809,0.38,0.06,56.9,4.54,-0.00154,0.00083,0.00349,0.00054,197.63448,20.63803
Mark_163,2460426.36879,0.79,0.06,34.57,2.23,0.00282,0.00034,0.00741,0.00065,172.77328,16.05559
Mark_164,2460426.37258,0.59,0.09,42.9,4.15,0.00044,0.00159,0.00593,0.00084,172.63016,15.81605
Mark_166,2460426.3763,0.28,0.08,45.84,8.08,-8e-05,0.00055,0.00283,0.00076,172.40683,15.99918
Mark_167,2460459.33816,0.3,0.05,47.64,4.85,-0.00028,0.00063,0.00299,0.0005,188.16794,18.48618
Mark_168,2460460.38925,0.1,0.06,86.35,20.49,-0.00097,0.00055,0.00012,0.00082,196.41862,21.67955
Mark_171,2460459.3878,0.17,0.05,16.1,9.26,0.00142,0.00043,0.0009,0.00068,197.54263,22.04166
Mark_182,2460459.32987,0.16,0.06,24.92,10.8,0.00104,0.00056,0.00123,0.00055,185.09541,20.1586
Mark_183,2460461.36847,0.42,0.05,47.56,3.41,-0.00038,0.00044,0.00422,0.0005,190.74332,20.88957
Mark_184,2460459.33311,0.19,0.07,30.66,12.24,0.00092,0.00069,0.00168,0.00075,187.15863,18.2637
Mark_188,2460426.38819,0.26,0.1,42.97,12.99,0.00018,0.00093,0.00255,0.00103,172.38278,16.02621
Mark_189,2460460.33664,0.25,0.06,45.65,6.9,-6e-05,0.00045,0.0025,0.00058,185.06535,19.8305
Mark_191,2460438.32729,0.4,0.04,69.96,2.93,-0.00305,0.00037,0.00256,0.00044,179.37923,16.02372
Mark_192,2460459.37755,0.26,0.03,68.21,2.8,-0.00188,0.0002,0.00179,0.0003,196.62993,20.90077
Mark_193,2460460.37663,0.57,0.09,62.81,4.35,-0.00332,0.00035,0.00463,0.00102,195.53589,21.06934
Mark_198,2460459.29594,0.45,0.07,48.4,4.89,-0.00053,0.001,0.00444,0.00074,179.67728,16.81602
Mark_200,2460438.31478,0.26,0.06,49.52,7.05,-0.00041,0.00103,0.00257,0.0006,179.17484,17.17295
Mark_206,2460460.42962,0.25,0.05,66.45,5.41,-0.00169,0.00055,0.00182,0.00036,199.19226,21.83499
Mark_207,2460461.36448,0.25,0.04,72.11,4.21,-0.00204,0.00031,0.00147,0.00045,188.71802,20.24956
Mark_212,2460426.39333,0.11,0.13,16.27,61.44,0.00093,0.00126,0.00059,0.00126,174.04788,16.17833
Mark_216,2460438.37881,0.29,0.07,23.66,7.13,0.00194,0.00082,0.0021,0.00055,185.22177,18.36675
Mark_217,2460461.41376,0.3,0.06,48.83,6.13,-0.00039,0.00034,0.00293,0.00062,195.918,21.60229
Mark_219,2460432.33096,0.19,0.08,36.74,13.44,0.00055,0.00135,0.00186,0.00073,178.69035,16.60255
Mark_221,2460460.39268,0.45,0.05,55.29,3.31,-0.00158,0.00059,0.00421,0.0005,196.43092,21.19197
Mark_222,2460460.36897,0.3,0.05,60.44,4.58,-0.00156,0.0005,0.0026,0.00047,193.55878,20.50641
Mark_223,2460459.32691,0.28,0.03,50.18,3.13,-0.00051,0.00065,0.0028,0.00029,184.88745,18.07525
Mark_225,2460460.40006,0.26,0.08,37.82,9.51,0.00064,0.00055,0.0025,0.00081,197.23097,22.05471
Mark_230,2460460.37251,0.54,0.07,75.11,3.74,-0.00467,0.00065,0.00267,0.00082,195.31955,20.94358
Mark_233,2460432.3718,0.15,0.08,49.43,18.3,-0.00023,0.00085,0.0015,0.00079,184.23959,18.59977
Mark_234,2460460.42097,0.19,0.05,60.23,7.06,-0.00098,0.00052,0.00167,0.00044,198.82893,21.44806
Mark_236,2460459.343,0.2,0.06,15.95,9.6,0.0017,0.00064,0.00106,0.00059,189.40477,22.63134
Mark_238,2460460.32343,0.22,0.1,60.95,15.92,-0.00117,0.00105,0.00187,0.00103,184.89882,17.43383
Mark_240,2460460.31032,0.23,0.04,32.6,5.28,0.00099,0.00044,0.00213,0.00042,184.3497,19.55028
Mark_242,2460459.39128,0.23,0.09,66.91,11.86,-0.00158,0.00079,0.00164,0.00091,197.9319,20.97835
Mark_243,2460438.30622,0.4,0.07,47.94,4.72,-0.00041,0.00086,0.00402,0.00065,178.97321,16.09546
Mark_245,2460438.33731,0.86,0.04,63.67,1.2,-0.0052,0.00033,0.00682,0.00038,179.55417,16.23754
Mark_248,2460432.3248,0.36,0.09,37.55,7.45,0.00094,0.00097,0.00353,0.0009,174.27348,15.68174
Mark_256,2460432.34369,0.51,0.1,55.28,5.88,-0.00178,0.00126,0.00475,0.00097,178.80675,16.90822
Mark_259,2460461.31939,0.51,0.07,52.25,3.96,-0.00128,0.00067,0.00493,0.0007,185.06711,18.59069
Mark_261,2460431.28917,0.16,0.13,-60.91,61.44,-0.00083,0.00146,-0.00134,0.00119,173.92517,16.22557
Mark_263,2460460.40775,0.08,0.04,76.24,19.28,-0.00068,0.00044,0.00036,0.00034,197.93994,21.26627
Mark_264,2460431.27584,0.4,0.14,34.23,10.82,0.00145,0.00054,0.00368,0.00146,172.38141,16.22388
Mark_269,2460460.34099,0.61,0.08,59.37,3.77,-0.00293,0.00046,0.00534,0.00087,185.14743,18.55286
Mark_272,2460461.33587,0.28,0.06,46.35,6.77,-0.00013,0.00071,0.00283,0.00065,185.61534,18.53669
Mark_273,2460432.318,0.25,0.07,43.83,8.03,0.0001,0.00085,0.00245,0.00065,174.25673,15.47786
Mark_274,2460459.30888,0.44,0.06,84.61,3.88,-0.00428,0.00058,0.00082,0.00065,179.92549,17.12649
Mark_275,2460459.31923,0.16,0.07,12.74,15.0,0.00147,0.00072,0.0007,0.00076,184.08626,18.35714
Mark_276,2460461.34036,0.32,0.04,46.02,3.68,-0.00011,0.00043,0.00316,0.0004,185.66374,18.43422
Mark_277,2460432.33698,0.25,0.07,40.03,8.05,0.00043,0.00092,0.00246,0.00066,178.80257,16.72225
Mark_281,2460459.37435,0.31,0.1,52.86,9.34,-0.00085,0.00083,0.00302,0.00097,196.00069,21.20325
Mark_282,2460460.36083,0.38,0.09,61.7,6.81,-0.00207,0.00075,0.00314,0.00091,191.05409,21.70998
Mark_284,2460459.41745,0.28,0.09,56.11,10.31,-0.00105,0.00152,0.00257,0.00078,199.64702,20.95893
Mark_285,2460459.3617,0.3,0.08,53.63,7.91,-0.00088,0.001,0.00283,0.00076,193.8681,21.30298
Mark_289,2460460.39614,0.24,0.09,30.95,12.21,0.00111,0.00081,0.00209,0.00093,196.73454,21.68843
Mark_290,2460460.36506,0.23,0.06,50.81,7.49,-0.00046,0.0002,0.00223,0.00058,192.14723,19.79486
Mark_294,2460461.3242,0.17,0.08,27.56,15.36,0.00097,0.00117,0.0014,0.00049,185.26663,19.91669
Mark_295,2460461.34499,0.3,0.04,49.52,4.03,-0.00048,0.00041,0.00299,0.00042,185.76147,19.00018
Mark_297,2460431.51647,0.11,0.09,2.9,61.44,0.00112,0.00093,0.00011,0.00092,199.78589,21.63083
Mark_298,2460461.34905,0.25,0.03,35.18,3.55,0.00085,0.00043,0.00238,0.00029,185.86821,20.17248
Mark_301,2460459.37111,0.17,0.03,42.17,6.0,0.00017,0.0004,0.00169,0.00035,195.3929,21.76202
Mark_302,2460460.35114,0.29,0.09,73.33,9.5,-0.00239,0.001,0.00157,0.00056,185.33888,19.54846
Mark_305,2460438.31873,0.25,0.04,-87.92,5.22,-0.00246,0.00044,-0.00018,0.00047,179.28236,16.80997
Mark_307,2460459.35014,0.3,0.05,56.76,5.03,-0.00119,0.0005,0.00274,0.00052,191.25285,19.86747
Mark_308,2460431.28536,0.05,0.09,-15.07,61.44,0.00042,0.00102,-0.00024,0.0006,173.14359,16.22173
Mark_310,2460460.29519,0.88,0.07,30.77,2.15,0.0042,0.0009,0.00774,0.00057,180.15356,15.65528
