#name,ra,dec,filter,utc,exposure,repetitions,free_exp,observed,skipped
Mark_180,191.94872,20.27622,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_181,192.40340,20.92901,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_185,189.58362,23.07223,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_186,186.03241,18.86056,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_187,188.88429,18.97851,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_190,187.04539,21.51586,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_194,188.06032,19.75694,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_195,186.19638,20.19529,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_196,189.27182,22.73961,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_197,191.09033,22.92358,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_199,192.21790,22.20572,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_201,193.92334,21.84684,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_202,188.29013,18.28759,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_203,188.54651,18.71465,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_204,186.36423,19.17329,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_205,191.34560,21.77153,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_208,187.40446,20.23767,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_209,192.42535,21.25375,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_210,187.80084,19.27633,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_213,188.89774,18.41147,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_214,190.69078,20.87979,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_215,188.88446,20.74661,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_218,191.14149,19.10416,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_220,185.89706,19.37161,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_224,189.98615,20.27236,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_226,190.42174,21.30850,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_227,191.25594,21.77990,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_228,193.38081,22.55151,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_229,194.43558,21.12012,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_231,192.79524,22.55291,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_232,186.62331,19.53539,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_235,190.11290,21.79784,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_237,189.01572,21.62057,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_239,192.86182,20.50454,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_241,187.65913,18.56756,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_244,188.12941,21.10091,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_246,191.57536,22.28882,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_247,189.75674,21.01896,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_249,187.29474,18.63226,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_250,190.99931,19.70843,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_251,187.36690,21.40331,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_252,191.02480,19.41516,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_253,187.72806,17.88821,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_254,190.04453,22.32329,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_255,192.24844,20.18809,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_257,188.25940,19.99869,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_258,191.66212,20.48947,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_260,194.29060,20.54089,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_262,190.94083,22.93393,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_265,186.99651,19.93155,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_266,193.88101,22.27974,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_267,191.54379,19.82033,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_268,188.96674,20.68209,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_270,193.07767,20.53966,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_271,191.32678,19.91517,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_278,188.53156,18.73540,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_279,188.29208,19.25974,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_280,190.94275,22.86305,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_283,188.47319,19.33691,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_286,190.97514,22.45796,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_287,193.49825,22.01966,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_288,189.67937,18.54489,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_291,187.70242,21.07855,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_292,190.04770,22.58038,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_293,187.21248,20.11445,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_296,188.46481,18.58146,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_299,190.24536,22.95119,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_300,191.55118,19.14096,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_303,189.77141,21.90349,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_304,191.32959,19.15580,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_306,189.42787,22.26397,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_309,188.82060,18.63834,R,2024-05-16T23:00:00,16,6,False,False,False
