#Filename  optimal_apeture
27_Mark_259_00_R_20.00_2024_05_30-19_37_24.fits   8.5
27_Mark_259_01_R_20.00_2024_05_30-19_37_54.fits   8.0
27_Mark_259_02_R_20.00_2024_05_30-19_38_24.fits   8.0
27_Mark_259_03_R_20.00_2024_05_30-19_38_54.fits   8.5
27_Mark_259_04_R_20.00_2024_05_30-19_39_24.fits   8.0
27_Mark_259_05_R_20.00_2024_05_30-19_39_55.fits   7.5
27_Mark_259_06_R_20.00_2024_05_30-19_40_25.fits   8.0
27_Mark_259_07_R_20.00_2024_05_30-19_40_55.fits   8.0
27_Mark_259_08_R_20.00_2024_05_30-19_41_25.fits   8.5
27_Mark_259_09_R_20.00_2024_05_30-19_42_01.fits   8.0
27_Mark_259_10_R_20.00_2024_05_30-19_42_31.fits   8.5
