Name,ra,dec,l,b,pix,q_gal,u_gal,sq_gal,su_gal,I_planck_KCMB,Q_planck_KCMB,U_planck_KCMB,sQ_planck_KCMB,sU_planck_KCMB
10567,198.9903442233024,21.38170128472897,348.4402826607952,81.98625670010789,4160619,-0.03751849058674614,-0.17604647927207248,0.018941959832177495,0.019912506526185772,0.0009884815035166084,3.39866552890878e-05,4.3444859087065855e-05,0.0,5.6091677514232775e-05
6847,193.006057216531,20.16965730945409,304.067472565521,83.04011212396769,4187177,-0.16139786808977677,0.10025332002519931,0.029927480610720963,0.029917849212355407,0.0010437131723197903,7.277421706437058e-05,-2.0820375638542045e-05,0.0,0.0
10456,193.4419180779172,20.65084836193759,307.75259958859573,83.50077827793653,4187249,-0.14977064998112347,-0.008291706955253261,0.020023694481901166,0.020921298807395808,0.0009478809696394051,0.0001165674789069234,-1.0045459505073385e-05,0.0,1.2726058667834455e-05
6914,193.32370384330227,21.244858547528302,307.1459067314309,84.10140687830709,4187544,-0.010171353908823597,-0.0063673824811659365,0.03696230106064653,0.033636281021866894,0.0018820207169661582,0.00018941019369119366,3.0117688757300725e-05,0.0,1.3414460075870382e-05
6936,193.6580027429304,21.5850817071288,310.57621819215393,84.40935953396932,4187600,-0.12655593588264888,0.024991900545314034,0.014955038059882414,0.014904982688101339,0.001210494192078279,6.91329095589924e-05,-3.986334007189135e-06,0.0,2.147208632440756e-05
10566,198.1143677342611,20.841565792211703,341.40443752567603,82.09216518108533,4160376,-0.09881089927566775,-0.16228495365970882,0.03218019510010442,0.03105002300722551,0.0008595338570636939,7.68125727567861e-05,4.774606531869178e-05,0.0,5.369827564594457e-05
6911,196.58817276955995,21.153192347741985,333.375601368295,83.12529985142996,4182829,-0.01054872054538789,0.016991894975408463,0.027603323143262477,0.0283141086982776,0.0010491993378193474,3.641428414789423e-05,4.733546635089557e-05,0.0,4.923686154599434e-05
10559,196.264419242409,21.493984909873497,332.4939512738719,83.56877925139723,4182968,-0.01881664551569644,-0.18906595106347582,0.03986522305252346,0.0399285259681819,0.001227272100754051,4.0780380673437555e-05,7.737286814183237e-06,0.0,4.917779643651433e-05
6714,186.8877145001317,17.834233148083452,271.037179370682,79.19624107294253,4172726,0.06853443396787022,-0.05833550686077594,0.03480164082352014,0.03475727159203535,0.0008301231177870682,-1.5253607749544476e-05,-4.726332285552287e-05,0.0,0.0
10485,184.74679327474672,18.450118934935208,260.5225873201465,78.55127696505552,3103761,0.18342165325397963,0.0797276433715237,0.02956552974639401,0.028384855917708406,0.0008131423251051184,-9.13282247309994e-05,-5.668723641789784e-05,0.0,0.0
6767,188.78232141709483,18.377162032190192,278.86126675178167,80.47763763282992,4176026,0.01248342242013919,0.07902002382105669,0.010028994768680199,0.010024171436928849,0.0007298737877929422,-1.094986827646181e-05,-7.731802723102627e-05,0.0,0.0
10475,187.472826803316,17.909815697478248,273.49359806489434,79.52833630350075,4173359,0.06730549253579685,0.12275980887291162,0.016988482131068336,0.018064593166851935,0.000644194029506251,-9.662157498325278e-06,-5.387976762344676e-05,0.0,0.0
11518,187.0213363945747,18.330640768166,270.28319001429384,79.68968058631975,4172799,0.054699102169320855,0.16095964780612002,0.02702317808589452,0.027077079343524595,0.0007257006776157648,1.2835180249907378e-06,-0.00010636286290448527,0.0,0.0
10445,187.39404473752745,18.82831101730795,270.59415921387784,80.29760087500333,4173561,-0.042979398882939966,0.4378958452322437,0.04445664092121549,0.04179316507453763,0.001114701246232269,-1.3753703682702747e-05,-0.00016241176196415768,0.0,0.0
10476,187.3529093655896,19.31534343707705,268.87137790046006,80.6948915641779,3104635,0.07824485746240747,0.1621041093886504,0.019412348182039265,0.01945421539149019,0.001248155667286957,-2.8967130049497747e-05,-0.00010831522984098738,0.0,0.0
11516,187.5360417240259,19.341807268959933,269.7020937818927,80.80775926291575,3104639,0.14406474325370433,0.22835356303601714,0.009685649368668774,0.00974754512259422,0.0012087533928746385,-4.860810567042923e-05,-0.00012003559482728568,0.0,0.0
10447,187.7215846629333,19.891654276439123,268.8033220694222,81.36767802118679,3110259,-0.07848964375113951,0.16198572722255256,0.01907364787250683,0.019786402282245062,0.0010755340829525341,-3.330917821946019e-05,-8.324891763535931e-05,0.0,0.0
10481,185.83597203965883,19.65975126637421,260.67969774445913,80.13941458328792,3104489,0.1244241495004242,0.14359189051299556,0.03989602715431506,0.039897746957959696,0.001107848901295143,-3.067542769303127e-05,-9.382053182467565e-05,0.0,0.0
10487,187.0241687071146,20.35439450004905,263.45670450699305,81.37677487617111,3110662,0.13002443068427202,0.051900360550105405,0.01927864884630692,0.015597171219881203,0.0013045671348318566,-5.4218086843257346e-05,-8.44853145037974e-05,0.0,0.0
6893,187.4302919122508,20.895967030089807,263.27926093382894,82.03792212540813,3110828,0.02995545988443386,0.001634142928899955,0.009995612416747767,0.009952785143006931,0.0010704386582101482,-4.240591979598809e-05,-7.201735115674679e-05,0.0,0.0
6896,186.6569379490689,20.95220775384171,259.09760578067375,81.62291426956908,3110633,0.1509461329880121,0.11539178885850311,0.05985548576106147,0.05983517371162739,0.000688565341717828,-3.5845819217736474e-05,-4.586462403815411e-05,0.0,0.0
