pix,n_stars,ra_mean,dec_mean,l_mean,b_mean,q_gal,sq_gal,u_gal,su_gal,Q_planck_KCMB,U_planck_KCMB,I_planck_KCMB,sQ_planck_KCMB,sU_planck_KCMB
2994541,1,172.38278,16.02621,239.05218957641358,68.0081320398739,0.22834398715398832,0.10102243380759228,-0.1150870259004863,0.0951444578921476,-7.273266147651402e-05,4.8978634396291986e-05,0.0008485451697627607,3.8657801964356454e-05,0.0
2994546,1,172.40683,15.99918,239.14651973170805,68.01230709601164,0.26482539515256914,0.07369145193347557,-0.10010249788234872,0.05805660954565174,-9.03542342248585e-05,4.6747040659263836e-05,0.0009715672219311479,3.898695365795636e-05,0.0
2994627,1,172.38141,16.22388,238.60929734115598,68.11628456253308,0.2801991007679662,0.11012763499034861,-0.27969351785270796,0.11001774407536517,-3.075288037253782e-05,2.792203848352639e-05,0.0005377599648372423,3.8171450961513836e-05,0.0
2995208,1,172.63016,15.81605,239.87448712207976,68.08727766454994,0.537052406203131,0.10305996739759828,-0.2554382762849516,0.14793459068117226,-9.408821190676068e-05,3.035119046247698e-05,0.0010878145108445254,3.885875915049876e-05,0.0
2995236,1,172.79477,15.85788,240.0229435324497,68.24148286560305,0.5479185147262627,0.06990581895989186,-0.3142694723007093,0.07661055068035227,-6.622785710517426e-05,3.463391790531045e-05,0.0012089571284218548,3.80994693409661e-05,0.0
2995257,1,173.07893,15.94011,240.2605971587564,68.51310796407783,0.5566199504815093,0.02816725228340802,-0.2159148691636642,0.06452600947527164,-3.495542731128422e-05,4.8032927548183114e-05,0.0014399177255597089,3.800035199198e-05,0.0
2995307,1,173.3679,15.93255,240.71335369798726,68.73679507045068,-0.4998512230316566,0.2603839133306832,0.0707160153979076,0.29289796462010315,-3.7542053368204056e-05,6.850129135914086e-05,0.0013244935018411753,3.8048878511026314e-05,0.0
2995328,1,172.77328,16.05559,239.55007914679348,68.33591319029819,0.582740467113461,0.052726698614448515,-0.5386562428751619,0.05099897306045596,-4.0564076217981775e-05,2.3733443887033637e-05,0.0013538541654635615,3.9096350646043776e-05,0.0
2995376,1,173.14359,16.22173,239.719779942015,68.72357150813221,-0.037812040921934,0.08593862332472543,-0.03017034241300534,0.08135448986411849,1.2727071496383675e-05,2.1300026879059165e-05,0.0014337911677911037,3.858597685041216e-05,0.0
2995401,1,173.47864,16.05583,240.60258275757482,68.8946808852425,0.03265465766565116,0.2525089796006644,-0.38604491103074934,0.48253623202929663,-6.065126626912462e-06,0.00012210374143070089,0.0015322732869904447,3.806803981911349e-05,0.0
