pix,n_stars,ra_mean,dec_mean,l_mean,b_mean,q_gal,sq_gal,u_gal,su_gal,Q_planck_KCMB,U_planck_KCMB,I_planck_KCMB
187158,1,172.38278,16.02621,239.05218957641358,68.0081320398739,0.22834398715398832,0.10102243380759228,-0.1150870259004863,0.0951444578921476,-7.273266147651402e-05,4.8978634396291986e-05,0.0008485451697627607
187159,1,172.40683,15.99918,239.14651973170805,68.01230709601164,0.26482539515256914,0.07369145193347557,-0.10010249788234872,0.05805660954565174,-9.03542342248585e-05,4.6747040659263836e-05,0.0009715672219311479
187164,1,172.38141,16.22388,238.60929734115598,68.11628456253308,0.2801991007679662,0.11012763499034861,-0.27969351785270796,0.11001774407536517,-3.075288037253782e-05,2.792203848352639e-05,0.0005377599648372423
187200,1,172.63016,15.81605,239.87448712207976,68.08727766454994,0.537052406203131,0.10305996739759828,-0.2554382762849516,0.14793459068117226,-9.408821190676068e-05,3.035119046247698e-05,0.0010878145108445254
187202,1,172.79477,15.85788,240.0229435324497,68.24148286560305,0.5479185147262627,0.06990581895989186,-0.3142694723007093,0.07661055068035227,-6.622785710517426e-05,3.463391790531045e-05,0.0012089571284218548
187203,1,173.07893,15.94011,240.2605971587564,68.51310796407783,0.5566199504815093,0.02816725228340802,-0.2159148691636642,0.06452600947527164,-3.495542731128422e-05,4.8032927548183114e-05,0.0014399177255597089
187206,1,173.3679,15.93255,240.71335369798726,68.73679507045068,-0.4998512230316566,0.2603839133306832,0.0707160153979076,0.29289796462010315,-3.7542053368204056e-05,6.850129135914086e-05,0.0013244935018411753
187208,1,172.77328,16.05559,239.55007914679348,68.33591319029819,0.582740467113461,0.052726698614448515,-0.5386562428751619,0.05099897306045596,-4.0564076217981775e-05,2.3733443887033637e-05,0.0013538541654635615
187211,1,173.14359,16.22173,239.719779942015,68.72357150813221,-0.037812040921934,0.08593862332472543,-0.03017034241300534,0.08135448986411849,1.2727071496383675e-05,2.1300026879059165e-05,0.0014337911677911037
187212,1,173.47864,16.05583,240.60258275757482,68.8946808852425,0.03265465766565116,0.2525089796006644,-0.38604491103074934,0.48253623202929663,-6.065126626912462e-06,0.00012210374143070089,0.0015322732869904447
187213,1,173.76079,16.01056,241.14093251929083,69.0904872690081,0.33801382545632946,0.054044922737998595,0.014786946959330423,0.04260453410429179,-1.6603011617218625e-05,4.5530157264558695e-05,0.0011491527511120632
187215,1,173.92517,16.22557,240.90215003229295,69.34344789122201,0.0438783217419246,0.13039733090381572,0.19468870763634993,0.12164923383713025,1.9347184718511377e-05,3.2917023502016844e-05,0.0009059980147740759
187216,1,173.92136,15.51353,242.51739549947888,68.92385592420281,-0.0367937538188291,0.06905686808595919,-0.0661681167929041,0.08325352226878112,-7.122697713616269e-05,-7.049660737240325e-06,0.0010034816282079115
187219,2,174.149925,15.680465,242.50947673221123,69.20003028852204,0.31209572060766655,0.058536509548927744,-0.14296775205815251,0.05847585235455858,-6.255333987757196e-05,1.2766123770838088e-05,0.0012028697556706017
187220,1,174.25673,15.47786,243.13858624176154,69.1612447546593,0.23289315611431155,0.06725094632169272,-0.0767188232125266,0.08323046448769106,-6.605062837959103e-05,1.5840437567376444e-05,0.0009809902233059915
187224,1,174.02271,15.99841,241.58018702995506,69.2884299750999,0.008536039342423278,0.20410328088250426,-0.8051603169756596,0.17368606948456616,1.0385716000800402e-05,2.9428962053252163e-05,0.001135665269052124
187226,2,174.14231999999998,16.174405,241.36365832124278,69.48418983901814,0.1568976579999133,0.05918278314672885,-0.18901320481013645,0.06049468780341817,-4.884034608985709e-06,7.193396674877699e-07,0.0007281603526362633
188017,1,178.98677,15.56845,252.01320448589001,72.68988958311755,0.41715506121322454,0.06874816237254289,-0.1750275832667264,0.08753679323803494,-9.666192759756105e-05,-7.388737496161901e-05,0.0012885730243535148
188020,1,179.33209,15.55869,252.82575525620265,72.92023647507459,0.49966177657231947,0.06274057107291764,0.13660200962135763,0.061266799667064116,-0.0001556248737345129,-0.00010928141873546443,0.0015837643222935305
188026,1,178.97321,16.09546,250.6860298326265,73.04353715684564,0.40391744202904317,0.06527040763821801,0.011649035355537612,0.08579495257147036,-9.334815097909197e-05,-0.00010876736482431893,0.0011328479916314104
188027,1,179.37923,16.02372,251.7912149477869,73.27782010522543,0.2688933590444433,0.04070166019231381,0.2935325560509364,0.040600182974826815,-0.00019316578920725543,-0.00021996906854010296,0.002040595677513095
188029,1,179.84392,15.83708,253.35141633254412,73.46539327264206,1.1105266070314446,0.10784969245742254,0.8208310758464422,0.10312343980317652,-0.0002023353695826774,-0.00019710955047956845,0.002271170647637706
188102,1,178.69035,16.60255,248.76378383919874,73.18149298797199,0.17696611436063303,0.09043976973286737,-0.07939769749872701,0.12399454847155952,-4.583804820227194e-05,-3.728920487595977e-05,0.001194110199100137
188108,1,178.80257,16.72225,248.69603636781247,73.34119693645069,0.23763788059644367,0.06965866437192426,-0.07733199664841447,0.08926180861891386,-6.459046477218564e-05,-3.5772792309650325e-05,0.001421868392188445
188110,1,178.80675,16.90822,248.2125101878021,73.46580425619813,0.49651245829052687,0.10276772318684994,0.10212432992337249,0.12214251950484314,-9.17200717788554e-05,-3.202788367909932e-05,0.001649484824022553
188111,1,179.28236,16.80997,249.53591857757286,73.74385145770316,0.011176345557529084,0.046980282782841824,0.24633328906174798,0.04402105211877852,7.705056878254986e-06,-0.00011890881775785254,0.0026232744001825877
188113,1,179.55417,16.23754,251.65760013955853,73.54708907245374,0.7061282493421496,0.03582444265546955,0.4870655966920588,0.03534981341428797,-0.00015937403881565294,-0.0002084311308930964,0.002294094371482952
188123,1,179.67728,16.81602,250.43288987619155,74.02841901388231,0.44685512787110343,0.07443620372107868,0.012668650097777574,0.09967573212971186,-5.616933174802679e-05,-3.7688872891981605e-05,0.0016257808547443377
188125,1,180.18828,16.48499,252.53789933151128,74.15659639796125,0.6841642552244896,0.055014068677258755,-0.0005214145368578417,0.07899020349115361,-0.00014484200703816118,-3.5948862759879884e-05,0.0014020311773553164
188133,1,179.4492,17.01651,249.36169032875716,74.00035923948343,-0.022044369653942783,0.10529166580582755,-0.16353301124409203,0.05536844870351636,-5.49012772605614e-06,-8.404688236167429e-05,0.0022896378172107238
188134,1,179.17484,17.17295,248.31191365204936,73.9053002565249,0.2600942115141879,0.06136589803950145,3.371665588895399e-05,0.10219210614233132,-1.4232668810253224e-05,-5.648503058482352e-05,0.0019262095239876663
188145,2,179.9031,16.943125000000002,250.62557597502507,74.27341443833296,0.27326725621132897,0.037341338468468155,-0.029366699582604548,0.048822415339674186,-8.143139190941814e-05,-2.9690349093499976e-05,0.0012060441479251004
188147,1,179.92549,17.12649,250.17629676690015,74.412974060569,0.1240647588455107,0.0642625271673309,0.41775104501677224,0.05881604884781078,-3.548734890917535e-05,-6.520097095121491e-05,0.0011506081966494723
188194,1,180.15356,15.65528,254.55006427361008,73.54307156239297,0.7921992373263796,0.06972489227261915,-0.3856648394389907,0.08054464226484373,-0.0001780893109943902,-4.823314203753135e-05,0.0015253928750135074
193855,1,184.08626,18.35714,258.4538571068622,78.07592034617144,0.0894412669086647,0.07452494251907925,-0.13604874043434945,0.07352572979935619,-7.178520326560982e-05,-1.3512156407402192e-05,0.0009297631008776575
193863,1,184.89882,17.43383,264.10859478464437,77.83298129569266,0.14076581115109474,0.10454153073700641,0.16914486811894217,0.10446084601975777,-7.36416648903793e-05,-2.7912385799208145e-05,0.0008530696587713492
193894,1,184.88745,18.07525,262.20874071491164,78.34073190604092,0.2578746022535021,0.03894349205446847,0.12042296090280326,0.05957687828850678,-8.630126304124872e-05,-0.00010247540557715289,0.0009945116638576733
193898,1,184.34332,18.37268,259.3061117609675,78.24677968307755,0.3115956803018189,0.08356678136642649,-0.25469222998993635,0.08256871715156942,-0.00010045631913986971,-2.5914282540614267e-05,0.0007966141660885767
193902,1,185.22177,18.36675,262.5835065631493,78.7653305780669,0.32916456555765855,0.03796131852661116,0.012949470307233034,0.1131323927782011,-0.00010589477477717194,-7.62722751863882e-05,0.001192995259655741
193914,1,185.77832,18.27509,265.0749764858684,79.00386196421071,0.39727565122505826,0.08129160634762725,0.1630155113592137,0.0777475063099931,-2.796268299666474e-05,-0.00011900854856083256,0.0010988772751799928
193941,1,184.23959,18.59977,258.2067151662362,78.35425499135916,0.1066856985398543,0.09017018927451238,0.040843135617424565,0.09083136554185786,-7.569692546660057e-05,-8.941764385459549e-06,0.0008683745239780566
193950,1,184.13316,19.0139,256.4407596632968,78.59334032801624,0.12679196401093243,0.08882901172687792,-0.27303625741327914,0.06883608556292396,-7.611370967214908e-05,-9.67332620354514e-06,0.0009231539363024626
193951,2,184.46231999999998,19.033054999999997,257.5474489535291,78.81757944012003,0.26101202076596175,0.025645314476296494,0.1261597377679991,0.03125814732747819,-8.571680179409809e-05,-1.9790956398250233e-05,0.0008629111659819132
193973,1,184.61546,19.20315,257.50948927424963,79.04117835070839,0.22526736957656757,0.07187761018233117,-0.011815760832639266,0.06713128297952338,-6.375898481629107e-05,-4.6039777624399956e-05,0.0007602778639371364
193980,2,184.379295,19.564754999999998,255.3423426314715,79.15234898111257,0.2385063004259444,0.029507099752560183,-0.1277889613276373,0.030825463323580868,-4.802085185041165e-05,-5.904358331036275e-06,0.0008097241102363087
193982,1,184.34711,19.69882,254.7258450256561,79.22670098061155,0.1655961187111436,0.07735618365190286,-0.08991065269368724,0.07764676973843197,-3.8585427616425306e-05,-1.560198433806083e-05,0.0008022005580405464
193985,1,184.94878,18.51457,261.07208908210407,78.72195514175658,0.4044569176834473,0.04258496363892062,0.20905406415089164,0.03957929852677797,-9.438633650384439e-05,-7.145962273838719e-05,0.0008899435464853498
193988,2,185.10727000000003,18.571775,261.4928147715411,78.86033425942846,0.4521752448705605,0.04945332874419246,0.32005299058033476,0.048183525041339936,-9.457176299312162e-05,-8.942427900943614e-05,0.0009750180886348814
193989,1,185.61534,18.53669,263.6070088796017,79.12554827917096,0.2668427869086945,0.06571433362981852,0.09514687107204889,0.07033936561832857,-5.8343710842371666e-05,-9.436258151347293e-05,0.001207219993073398
193992,1,184.56752,18.84387,258.57270704011205,78.74253981350722,0.22688240142876245,0.033404038045850806,0.05322007066810313,0.06536949014816738,-5.905537666520581e-05,-3.9171498656021716e-05,0.0007206735466885926
193994,1,184.92867,18.98709,259.4322782021148,79.07404514134859,0.2815433233029173,0.048576512493616185,0.10657559337648086,0.028780591271854526,-5.676834557437338e-05,-2.6183876340072533e-05,0.0007059664628643963
193996,1,185.18335,18.78271,261.0989624309181,79.07019240057255,0.3966156469389886,0.05781806029157189,0.054046541084213154,0.050210276877549254,-0.00011837327615821923,-8.526709138747167e-05,0.0010462138228838126
193999,1,185.76147,19.00018,262.69652822596026,79.57906622019807,0.2764095836066078,0.04181966831799596,0.12331967438499702,0.04118392091305545,-0.00010523143192265892,-9.978343750446163e-05,0.001298577294918888
194000,1,185.66374,18.43422,264.12313608840054,79.07006614918858,0.297177502127603,0.040364308947475426,0.10799320455102014,0.04265820628194246,-4.1262424182838423e-05,-0.00010156451615443024,0.0012036655675787006
194021,1,185.9707,19.05754,263.3821397536911,79.74422010917131,0.2895322393627941,0.10395469835534592,0.025398471795872186,0.1030457213563428,-7.61324034640958e-05,-0.00010623378290361188,0.001280998188623803
194025,1,185.33888,19.54846,259.0415081425019,79.7522299076175,0.1223047075001135,0.07509191629025247,0.259087935889172,0.08542952714288965,-3.3640908478627006e-05,-5.975520196675199e-05,0.0008967877279364325
194028,1,185.62071,19.46568,260.4896023804124,79.86063747219572,0.29444475453063923,0.03206742488644534,0.1583138860914974,0.035223291458240893,-4.457261941339198e-05,-7.483629597142883e-05,0.0010646815664819573
194325,1,185.06535,19.8305,256.9012320498482,79.79011683990743,0.24897462025638048,0.05789629918008972,0.023165458514588476,0.04513334179129155,-2.752983706151074e-05,-3.920524818193007e-05,0.0008106815446097576
194333,1,185.09541,20.1586,255.72808223894498,80.04757860431835,0.12627462729395042,0.055483202336778004,-0.09999859249896427,0.05552129554014523,-2.9562833778124297e-05,-3.6371660085749225e-05,0.0008026755215626716
194368,1,185.26663,19.91669,257.36012793717885,79.9818641470001,0.14691763034407818,0.08432833597051284,-0.08567502491438676,0.09475616999670425,-3.4529793643056e-05,-3.7072958362627626e-05,0.0008385535313568744
194369,1,185.54079,19.79519,258.9370471788842,80.06317752053295,0.4031524729270492,0.05824800783518299,-0.06853527247195293,0.052840983935128066,-3.3479942284031634e-05,-7.451294308595568e-05,0.000974346191520556
194377,1,185.86821,20.17248,258.83729121424824,80.5497451977304,0.2469990655855088,0.031463599563498645,-0.05348328336859607,0.04123156439559148,-2.6014307618403683e-05,-3.516702576606496e-05,0.0008876351796462951
194428,1,187.88229,20.72047,266.5145638332279,82.14368679352418,-0.46846150164568356,0.4681638663182975,-0.40706242945753573,0.4227665955038347,9.151245762929936e-06,-5.58638500644215e-05,0.0013617362355993192
194430,1,188.00117,20.81871,266.78410422003986,82.28747021956892,-0.06544736133839232,0.08499237003640313,-0.10884228449385794,0.08635564275480279,1.2095288640590926e-05,-4.2026048772706774e-05,0.0013335696589898889
194523,1,188.06802,21.52798,263.9760155349948,82.9008119413238,0.04125895989496541,0.03012775399075484,-0.11091752895005207,0.030875855283255812,2.4316035758821992e-05,-6.581965179819476e-05,0.0006188006698325918
195933,1,189.40477,22.63134,267.3151732793243,84.51949967946929,0.16166522836780575,0.06187370992622063,-0.11975539209899992,0.06122617103793039,-4.357445514357582e-05,-2.6928826906720398e-05,0.0006043223626783908
259942,2,199.711135,20.927014999999997,349.63837122222566,81.19381031703355,-0.36548564325565003,0.051922934699293204,-0.06560930375636499,0.06619871650395748,5.997535514912081e-05,7.828917054129687e-05,0.000817607828413404
259945,1,199.39124,20.75375,347.4284183427182,81.27029131841422,-0.29830728322183525,0.0704057775381817,0.09542413099844176,0.05992517408605562,6.288346271829287e-05,8.468584424624272e-05,0.0009407779850568389
259947,1,199.27654,21.0103,348.04902737189997,81.53238820974211,-0.4056355405781633,0.05496315012751637,0.010478941733835404,0.046044023803965016,8.182361053482077e-05,4.1758275918427086e-05,0.0009677015804484832
259950,1,199.35889,21.29277,349.76006937270097,81.68519587376942,-0.292761249315021,0.07146679977599515,-0.22548359341537053,0.07212140132982593,4.8200499158995834e-05,5.6222505526333744e-05,0.000984131041444509
259953,1,199.97675,21.85439,355.3018179048743,81.65096750394079,-0.04927247854779808,0.038900983732131675,0.1674222890112209,0.058161099238859176,3.832075932524068e-05,3.4264491191637395e-05,0.000708464112380821
259954,1,199.78589,21.63083,353.34143829333175,81.63550028161178,-0.020890424243219564,0.09204357871035275,0.11058295607795218,0.0929568696664808,4.23052885132207e-05,2.970163956317154e-05,0.0007963077688443801
259962,1,199.4996,21.72981,352.58709790985006,81.8980016678221,-0.13409703916309393,0.04791619445999587,0.04218985764009713,0.05333890051802588,2.763229206718199e-05,6.464601498433249e-05,0.0006666101718559841
260027,2,197.644855,20.626395000000002,337.87309131692973,82.16498531871798,-0.31392635445454986,0.03795045246350761,0.012839401305268845,0.04062651669354011,7.54290890190729e-05,3.766199631502208e-05,0.0007353956541344348
260029,2,197.997735,20.992395000000002,341.415428494299,82.2780173017228,-0.25419391490853205,0.03783303711484988,-0.07923443801607175,0.03618622361938444,5.1570851830615494e-05,4.2772550859427046e-05,0.0008307700068805163
260031,1,197.93994,21.26627,342.33301824792255,82.52971378801585,-0.04832624710906378,0.028602199854359814,-0.04375584349951105,0.02847655462817192,4.885252720090469e-05,7.976611924036637e-06,0.0008591333109350041
260035,1,199.0128,20.92477,346.40450310430873,81.63248537665287,-0.4645003262164245,0.0703772885801346,-0.22698776827140973,0.07174285505963962,6.072195015969342e-05,5.074207652726282e-05,0.00097067724103439
