GID,starID,RA,DEC,l,b,origin
3899061681717047936,28576,178.93039339861744,6.862713964137979,267.2695112981491,65.79918948695071,external_panopoulou_2025
3906091752906395392,28578,181.0286024597285,9.698541345647229,268.0591618997598,69.30086480388876,external_panopoulou_2025
3906535027891367040,48770,183.30470416184707,10.819032667163745,272.23351770177874,71.37570884468933,external_panopoulou_2025
3911956925886262784,28555,178.41974314986447,8.572232281497461,263.8851730470908,66.95720023101264,external_panopoulou_2025
3912382093288447616,28542,178.53297159561322,9.892686678079654,262.1242311523358,68.09884435965343,external_panopoulou_2025
3912991497608085120,28512,176.0133497182429,10.336877522575302,256.3354064002411,66.89545316214377,external_panopoulou_2025
3916427157911605376,28475,174.1779388090721,11.669730961566536,250.69684886495884,66.62135258080713,external_panopoulou_2025
3917713384653237248,28472,175.1488204288846,12.806114308420415,250.27076941056265,68.09264779938269,external_panopoulou_2025
3919856813852446592,14704,180.3072099877064,12.377800774254258,261.9046907513115,71.1319860261869,external_panopoulou_2025
3919939238568799616,6476,180.2645876427815,13.008253816943036,260.60400046901276,71.60799323287573,external_panopoulou_2025
3920735495441657728,14705,181.79520627860884,12.98527337857477,264.5490866754199,72.47190801209406,external_panopoulou_2025
3920790093065919104,11501,181.89957175000745,13.516943255955974,263.80507921048894,72.9660292361908,external_panopoulou_2025
3921170691591853056,11490,184.83416295686447,14.541417843704286,270.6111599664918,75.35931946851794,external_panopoulou_2025
3921394442208127232,6566,184.0004067103691,14.89892987587069,267.1601187353784,75.25026637463229,external_panopoulou_2025
3921428565724860160,6584,184.4345726215761,15.144510043875044,268.05272758924826,75.68151987184505,external_panopoulou_2025
3921527727929147264,11511,181.29042116298615,13.472895501559286,262.27299662903596,72.58264226435675,external_panopoulou_2025
3922905965754421120,11539,177.72185449364792,13.587392627710466,253.68784766605305,70.42198610798796,external_panopoulou_2025
3923191422165480448,6531,177.16081290591993,14.284247166272074,251.06075274854794,70.5284269883353,external_panopoulou_2025
3923275470380802304,11528,178.22241492616868,13.744228193491136,254.4237455364479,70.87110370520705,external_panopoulou_2025
3923309692680224896,11500,178.46401724071018,14.02961404083988,254.34458461581164,71.23960581435311,external_panopoulou_2025
3923318110816149120,11515,178.6390068988038,14.151199045090603,254.46855309259902,71.44458517025693,external_panopoulou_2025
3923492761366263040,11522,178.15922606561523,14.21480507550011,253.2851542439381,71.16787891555617,external_panopoulou_2025
3923535848478154368,11521,178.10310206381217,14.458645358864231,252.63180090367203,71.30294911302161,external_panopoulou_2025
3923677135722334336,11514,178.8461997906847,15.111475603652767,252.77882762996938,72.27264147263668,external_panopoulou_2025
3923915248709126144,11517,176.59803061855186,14.124021163901643,250.29359919473376,70.0221658311304,external_panopoulou_2025
3923927824372713472,28467,176.29733715080485,14.263318729638684,249.4173093719778,69.90284321149102,external_panopoulou_2025
3924432362771582848,11509,177.27108994842857,15.231325092464534,249.16075431250223,71.25061597633487,external_panopoulou_2025
3924476927352571776,11505,178.19277804247474,15.436046229493073,250.5876511432176,72.04450866136033,external_panopoulou_2025
3924688548980701056,11527,176.34153021311457,15.728960089233786,246.1974745492942,70.89489948820422,external_panopoulou_2025
3924775199945271424,11496,177.25763022979115,16.132495859706214,246.9822874450355,71.83084052183503,external_panopoulou_2025
3924800286849985664,6640,177.31179444015234,16.242637380215136,246.8170436625808,71.94128273007686,external_panopoulou_2025
