#Filename  optimal_apeture
19_Mark_167_00_R_18.00_2024_05_28-20_04_22.fits   7.0
19_Mark_167_01_R_18.00_2024_05_28-20_04_50.fits   7.0
19_Mark_167_02_R_18.00_2024_05_28-20_05_18.fits   7.0
19_Mark_167_03_R_18.00_2024_05_28-20_05_46.fits   7.0
19_Mark_167_04_R_18.00_2024_05_28-20_06_14.fits   7.0
19_Mark_167_05_R_18.00_2024_05_28-20_06_42.fits   7.0
19_Mark_167_06_R_18.00_2024_05_28-20_07_11.fits   7.0
19_Mark_167_07_R_18.00_2024_05_28-20_07_39.fits   7.0
19_Mark_167_08_R_18.00_2024_05_28-20_08_09.fits   7.0
19_Mark_167_09_R_18.00_2024_05_28-20_08_37.fits   7.0
19_Mark_167_10_R_18.00_2024_05_28-20_09_05.fits   7.0
19_Mark_167_11_R_18.00_2024_05_28-20_09_33.fits   7.0
