#Filename  optimal_apeture
28_Mark_274_00_R_17.00_2024_05_28-19_22_18.fits   8.0
28_Mark_274_01_R_17.00_2024_05_28-19_22_45.fits   7.5
28_Mark_274_02_R_17.00_2024_05_28-19_23_12.fits   8.0
28_Mark_274_03_R_17.00_2024_05_28-19_23_39.fits   8.0
28_Mark_274_04_R_17.00_2024_05_28-19_24_06.fits   8.0
28_Mark_274_05_R_17.00_2024_05_28-19_24_33.fits   8.0
28_Mark_274_06_R_17.00_2024_05_28-19_25_02.fits   8.5
28_Mark_274_07_R_17.00_2024_05_28-19_25_29.fits   8.0
28_Mark_274_08_R_17.00_2024_05_28-19_25_56.fits   8.0
28_Mark_274_09_R_17.00_2024_05_28-19_26_23.fits   8.0
28_Mark_274_10_R_17.00_2024_05_28-19_26_50.fits   8.5
28_Mark_274_11_R_17.00_2024_05_28-19_27_17.fits   8.5
