#Filename  optimal_apeture
9_Mark_277_00_R_9.00_2024_05_01-20_02_11.fits   8.5
9_Mark_277_01_R_9.00_2024_05_01-20_02_53.fits   8.5
9_Mark_277_02_R_9.00_2024_05_01-20_03_42.fits   8.5
9_Mark_277_03_R_9.00_2024_05_01-20_04_01.fits   9.0
9_Mark_277_04_R_9.00_2024_05_01-20_04_50.fits   9.5
9_Mark_277_05_R_9.00_2024_05_01-20_05_39.fits   10.0
9_Mark_277_06_R_9.00_2024_05_01-20_06_28.fits   10.0
9_Mark_277_07_R_9.00_2024_05_01-20_06_47.fits   10.0
9_Mark_277_08_R_9.00_2024_05_01-20_07_36.fits   9.5
9_Mark_277_09_R_9.00_2024_05_01-20_08_25.fits   10.0
