#Filename  optimal_apeture
22_Mark_76_00_R_18.00_2025_06_03-20_34_39.fits   6.0
22_Mark_76_01_R_18.00_2025_06_03-20_35_07.fits   6.0
22_Mark_76_02_R_18.00_2025_06_03-20_35_35.fits   6.0
22_Mark_76_03_R_18.00_2025_06_03-20_36_03.fits   6.0
22_Mark_76_04_R_18.00_2025_06_03-20_36_31.fits   6.0
22_Mark_76_05_R_18.00_2025_06_03-20_36_59.fits   6.5
22_Mark_76_06_R_18.00_2025_06_03-20_37_28.fits   6.5
22_Mark_76_07_R_18.00_2025_06_03-20_38_04.fits   6.0
22_Mark_76_08_R_18.00_2025_06_03-20_38_32.fits   6.5
22_Mark_76_09_R_18.00_2025_06_03-20_39_00.fits   6.5
