#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_233        2460432.37058   0.00450   0.00173   -0.30   12.27  0.00450  0.00173 -0.00005  0.00170  1031.66  1081.49  1032.27   982.20  1078.25  1027.09   978.97  1026.56
Mark_233        2460432.37076   0.00154   0.00198  -23.48   61.44  0.00105  0.00200 -0.00112  0.00196  1031.55  1081.23  1032.15   981.94  1078.18  1026.81   978.91  1026.27
Mark_233        2460432.37095   0.01254   0.00504  -24.23   12.98  0.00832  0.00512 -0.00939  0.00498  1031.94  1080.53  1032.59   981.21  1078.71  1026.21   979.46  1025.69
Mark_233        2460432.37113   0.00752   0.00734  -11.45   61.44  0.00693  0.00736 -0.00293  0.00724  1031.28  1080.43  1031.94   981.01  1077.85  1026.01   978.61  1025.46
Mark_233        2460432.37132   0.01211   0.00623  -21.32   17.97  0.00891  0.00630 -0.00820  0.00615  1032.00  1079.90  1032.60   980.59  1078.54  1025.34   979.20  1024.82
Mark_233        2460432.37150   0.00871   0.00429    1.64   16.90  0.00870  0.00429  0.00050  0.00415  1031.39  1078.95  1031.96   979.64  1077.99  1024.53   978.72  1023.99
Mark_233        2460432.37170   0.00913   0.00274  -13.97    9.16  0.00806  0.00276 -0.00428  0.00266  1031.59  1078.72  1032.18   979.39  1078.19  1024.31   978.88  1023.77
Mark_233        2460432.37189   0.00454   0.00239  -47.79   18.49 -0.00044  0.00243 -0.00452  0.00239  1031.49  1081.28  1032.10   981.98  1078.09  1027.05   978.79  1026.53
Mark_233        2460432.37207   0.00159   0.00189  -78.95   61.44 -0.00147  0.00190 -0.00060  0.00186  1031.34  1080.76  1031.94   981.48  1077.93  1026.34   978.63  1025.80
Mark_233        2460432.37229   0.00407   0.00144   -7.54   11.06  0.00393  0.00144 -0.00106  0.00140  1031.33  1080.31  1031.95   981.02  1078.25  1025.90   978.96  1025.37
Mark_233        2460432.37248   0.00151   0.00138  -21.95   61.44  0.00109  0.00139 -0.00105  0.00136  1031.15  1079.86  1031.76   980.56  1077.63  1025.50   978.33  1024.97
Mark_233        2460432.37266   0.00397   0.00132   13.32   10.35  0.00355  0.00133  0.00178  0.00130  1030.76  1079.04  1031.38   979.72  1077.49  1024.65   978.20  1024.11
Mark_233        2460432.37285   0.00204   0.00158  -26.99   61.44  0.00120  0.00161 -0.00165  0.00156  1031.57  1078.79  1032.17   979.47  1078.03  1024.39   978.72  1023.87
Mark_233        2460432.37303   0.00224   0.00276   27.69   61.44  0.00127  0.00282  0.00184  0.00273  1030.90  1078.43  1031.51   979.10  1077.43  1023.92   978.14  1023.37
