#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_302        2460460.35008   0.00105   0.00183  -66.03   61.44 -0.00070  0.00186 -0.00078  0.00180  1031.41  1079.73  1031.73   980.23  1079.24  1025.13   979.84  1024.82
Mark_302        2460460.35041   0.00393   0.00184   84.06   15.81 -0.00385  0.00184  0.00081  0.00179  1031.88  1080.67  1032.15   981.15  1079.75  1025.93   980.36  1025.67
Mark_302        2460460.35075   0.00518   0.00181  -21.78   10.91  0.00375  0.00184 -0.00357  0.00177  1031.75  1080.45  1032.11   980.99  1079.44  1025.82   980.14  1025.51
Mark_302        2460460.35102   0.00211   0.00180  -56.78   61.44 -0.00084  0.00184 -0.00194  0.00179  1031.54  1079.77  1031.94   980.22  1079.20  1025.23   979.80  1024.91
Mark_302        2460460.35128   0.00081   0.00182  -82.61   61.44 -0.00078  0.00183 -0.00021  0.00177  1031.89  1079.89  1032.22   980.33  1079.20  1025.16   979.86  1024.88
Mark_302        2460460.35160   0.00240   0.00183   21.63   61.44  0.00175  0.00186  0.00165  0.00179  1031.71  1080.44  1032.06   980.97  1079.10  1025.80   979.72  1025.50
Mark_302        2460460.35186   0.00242   0.00184  -19.63   61.44  0.00187  0.00186 -0.00153  0.00181  1031.58  1079.72  1031.95   980.25  1079.27  1025.30   979.83  1025.08
Mark_302        2460460.35213   0.00590   0.00186   -7.42    9.68  0.00570  0.00186 -0.00151  0.00181  1031.59  1080.31  1031.89   980.89  1079.06  1025.84   979.69  1025.50
