#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_67         2460459.40208   0.00513   0.00234   18.65   15.27  0.00408  0.00237  0.00311  0.00230  1032.51  1081.78  1032.87   982.36  1078.46  1027.47   979.07  1027.09
Mark_67         2460459.40238   0.00557   0.00228    2.57   13.26  0.00554  0.00228  0.00050  0.00222  1032.31  1081.18  1032.69   981.73  1078.05  1026.69   978.66  1026.44
Mark_67         2460459.40269   0.00263   0.00221   33.86   61.44  0.00100  0.00228  0.00244  0.00220  1032.94  1081.07  1033.36   981.62  1078.75  1026.73   979.40  1026.41
Mark_67         2460459.40299   0.00377   0.00221   19.82   21.60  0.00291  0.00224  0.00241  0.00217  1032.26  1081.72  1032.62   982.31  1078.29  1027.32   978.93  1026.98
Mark_67         2460459.40329   0.00352   0.00221   13.82   24.10  0.00312  0.00223  0.00163  0.00216  1033.16  1081.53  1033.53   982.05  1079.29  1026.73   979.88  1026.51
Mark_67         2460459.40359   0.00519   0.00219   37.47   13.75  0.00135  0.00224  0.00501  0.00218  1032.58  1081.57  1032.92   982.15  1078.43  1027.12   979.06  1026.81
Mark_67         2460459.40389   0.00304   0.00220   27.02   61.44  0.00178  0.00225  0.00246  0.00218  1032.52  1080.95  1032.94   981.46  1078.81  1026.43   979.48  1026.13
Mark_67         2460459.40419   0.00181   0.00222   19.32   61.44  0.00142  0.00225  0.00113  0.00217  1032.76  1081.47  1033.18   982.09  1079.08  1027.12   979.70  1026.78
Mark_67         2460459.40449   0.00243   0.00225  -14.02   61.44  0.00215  0.00226 -0.00114  0.00220  1032.32  1082.10  1032.69   982.67  1078.25  1027.55   978.89  1027.27
