#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_272        2460461.33485   0.00517   0.00170  -18.76   10.18  0.00410  0.00171 -0.00315  0.00168  1026.24  1083.28  1026.58   983.83  1072.61  1028.79   973.21  1028.46
Mark_272        2460461.33514   0.00026   0.00171  -11.46   61.44  0.00024  0.00172 -0.00010  0.00168  1027.29  1083.28  1027.65   983.86  1073.68  1028.77   974.23  1028.51
Mark_272        2460461.33543   0.00376   0.00171    0.20   15.26  0.00376  0.00171  0.00003  0.00168  1026.37  1082.99  1026.72   983.53  1072.68  1028.45   973.25  1028.20
Mark_272        2460461.33572   0.00381   0.00170    6.59   14.82  0.00371  0.00170  0.00087  0.00167  1027.00  1083.88  1027.37   984.48  1073.45  1029.28   973.99  1029.01
Mark_272        2460461.33601   0.00309   0.00167   35.19   19.28  0.00104  0.00170  0.00291  0.00167  1026.98  1083.52  1027.35   984.12  1073.42  1028.93   973.97  1028.67
Mark_272        2460461.33630   0.00098   0.00171   -4.10   61.44  0.00097  0.00172 -0.00014  0.00168  1027.24  1083.56  1027.57   984.16  1073.58  1029.08   974.19  1028.81
Mark_272        2460461.33659   0.00490   0.00171    4.84   10.89  0.00483  0.00171  0.00082  0.00168  1026.98  1083.36  1027.36   983.91  1073.34  1028.72   973.97  1028.48
Mark_272        2460461.33688   0.00285   0.00170  -52.78   22.18 -0.00076  0.00173 -0.00274  0.00169  1026.87  1082.82  1027.22   983.41  1073.30  1028.24   973.86  1027.97
