#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_112        2460459.42127   0.00192   0.00176   46.38   61.44 -0.00009  0.00180  0.00191  0.00176  1025.57  1077.12  1025.93   977.59  1071.59  1022.48   972.09  1022.16
Mark_112        2460459.42178   0.00104   0.00177   37.27   61.44  0.00028  0.00181  0.00100  0.00177  1028.45  1079.91  1028.86   980.45  1074.41  1025.49   974.97  1025.16
Mark_112        2460459.42204   0.00633   0.00183   14.98    8.79  0.00548  0.00184  0.00316  0.00181  1026.37  1079.08  1026.74   979.52  1072.66  1024.46   973.21  1024.08
Mark_112        2460459.42229   0.00143   0.00187    7.71   61.44  0.00137  0.00188  0.00038  0.00184  1028.73  1080.47  1029.16   980.96  1074.93  1025.84   975.47  1025.57
Mark_112        2460459.42255   0.00111   0.00185  -33.33   61.44  0.00044  0.00189 -0.00102  0.00185  1027.02  1078.95  1027.43   979.50  1073.09  1024.41   973.63  1024.12
Mark_112        2460459.42280   0.00641   0.00190   18.16    9.07  0.00516  0.00192  0.00379  0.00188  1027.30  1078.49  1027.63   978.92  1073.39  1023.83   973.88  1023.48
Mark_112        2460459.42307   0.00415   0.00193   -6.33   15.65  0.00405  0.00193 -0.00091  0.00189  1026.92  1079.89  1027.30   980.40  1072.80  1025.61   973.32  1025.26
Mark_112        2460459.42331   0.00271   0.00222   32.62   61.44  0.00113  0.00226  0.00246  0.00221  1026.28  1078.92  1026.64   979.41  1072.31  1024.35   972.85  1024.04
