#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_222        2460460.36804   0.00218   0.00176    9.67   61.44  0.00206  0.00177  0.00072  0.00173  1029.57  1083.27  1029.87   983.85  1077.08  1028.61   977.65  1028.35
Mark_222        2460460.36831   0.00127   0.00174  -26.10   61.44  0.00078  0.00176 -0.00100  0.00172  1029.90  1082.51  1030.24   983.00  1077.46  1027.91   978.01  1027.60
Mark_222        2460460.36858   0.00213   0.00176   75.43   61.44 -0.00186  0.00177  0.00104  0.00173  1029.19  1082.08  1029.61   982.66  1076.80  1027.43   977.37  1027.17
Mark_222        2460460.36884   0.00199   0.00176  -12.27   61.44  0.00181  0.00176 -0.00083  0.00172  1029.01  1081.96  1029.32   982.49  1076.74  1027.22   977.34  1026.91
Mark_222        2460460.36911   0.00310   0.00178   -6.12   21.01  0.00303  0.00178 -0.00066  0.00174  1029.03  1081.31  1029.31   981.88  1076.97  1026.58   977.52  1026.32
Mark_222        2460460.36937   0.00287   0.00177    7.03   23.36  0.00278  0.00177  0.00070  0.00173  1028.52  1080.89  1028.91   981.34  1076.49  1026.05   977.10  1025.75
Mark_222        2460460.36964   0.00278   0.00173   32.36   23.62  0.00119  0.00176  0.00251  0.00172  1028.35  1080.18  1028.70   980.69  1076.03  1025.54   976.56  1025.29
Mark_222        2460460.36991   0.00193   0.00173  -32.88   61.44  0.00079  0.00177 -0.00176  0.00172  1028.35  1079.83  1028.74   980.36  1076.12  1025.28   976.67  1024.98
