#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_24         2460780.47266   0.00788   0.00225   23.80    8.65  0.00531  0.00228  0.00582  0.00222  1041.20  1082.78  1041.92   983.35  1088.92  1028.70   989.43  1028.09
Mark_24         2460780.47294   0.00450   0.00243   15.25   19.24  0.00387  0.00245  0.00228  0.00237  1040.21  1082.89  1040.93   983.49  1088.03  1028.84   988.56  1028.24
Mark_24         2460780.47324   0.00596   0.00242    5.85   13.15  0.00583  0.00242  0.00121  0.00236  1040.74  1082.89  1041.45   983.45  1088.61  1028.79   989.16  1028.18
Mark_24         2460780.47353   0.00304   0.00231   15.50   61.44  0.00261  0.00233  0.00157  0.00226  1041.14  1082.81  1041.85   983.37  1088.97  1028.63   989.50  1028.02
Mark_24         2460780.47382   0.00740   0.00226   10.12    9.36  0.00694  0.00227  0.00256  0.00220  1040.81  1083.17  1041.53   983.73  1088.63  1029.02   989.17  1028.43
Mark_24         2460780.47411   0.00533   0.00237    9.98   14.79  0.00501  0.00238  0.00182  0.00231  1040.84  1082.71  1041.57   983.28  1088.71  1028.67   989.26  1028.06
