#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_0          2460507.29208   0.01414   0.00251   66.57    5.20 -0.00967  0.00254  0.01032  0.00248  1033.75  1081.08  1034.08   981.66  1081.82  1026.24   982.47  1025.96
Mark_0          2460507.29241   0.01482   0.00258   66.43    5.10 -0.01008  0.00262  0.01087  0.00255  1034.33  1081.19  1034.56   981.79  1082.43  1026.59   983.06  1026.15
Mark_0          2460507.29273   0.01481   0.00258   70.10    5.10 -0.01138  0.00261  0.00948  0.00254  1034.17  1080.83  1034.47   981.39  1082.28  1026.02   982.96  1025.71
Mark_0          2460507.29306   0.01808   0.00239   64.01    3.83 -0.01114  0.00243  0.01424  0.00236  1033.53  1081.06  1033.92   981.61  1081.73  1026.18   982.43  1025.92
Mark_0          2460507.29338   0.01381   0.00235   57.94    4.97 -0.00603  0.00241  0.01243  0.00234  1033.93  1080.35  1034.34   980.83  1082.09  1025.42   982.67  1025.25
Mark_0          2460507.29370   0.01750   0.00236   63.01    3.91 -0.01029  0.00240  0.01415  0.00234  1034.66  1080.22  1034.94   980.75  1082.85  1025.25   983.47  1024.98
Mark_0          2460507.29403   0.01065   0.00233   53.18    6.48 -0.00300  0.00240  0.01022  0.00232  1035.22  1081.13  1035.60   981.60  1083.51  1026.01   984.21  1025.76
Mark_0          2460507.29435   0.01411   0.00238   64.12    4.94 -0.00873  0.00242  0.01108  0.00236  1035.07  1081.38  1035.31   981.92  1083.08  1026.43   983.70  1026.15
Mark_0          2460507.29471   0.01787   0.00241   68.31    3.91 -0.01299  0.00244  0.01227  0.00237  1033.13  1080.68  1033.46   981.22  1081.48  1025.98   982.18  1025.68
Mark_0          2460507.29503   0.01213   0.00240   66.98    5.82 -0.00842  0.00245  0.00873  0.00235  1032.66  1080.81  1032.99   981.34  1080.93  1025.84   981.63  1025.59
