#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_105        2460459.35277   0.00464   0.00130   17.16    8.50  0.00383  0.00131  0.00261  0.00128  1031.60  1082.20  1031.95   982.74  1077.51  1027.41   978.08  1027.14
Mark_105        2460459.35300   0.00429   0.00131   -8.69    9.33  0.00410  0.00131 -0.00128  0.00128  1031.79  1082.16  1032.16   982.69  1077.74  1027.49   978.36  1027.15
Mark_105        2460459.35323   0.00577   0.00130   14.38    6.70  0.00506  0.00131  0.00278  0.00128  1031.70  1081.89  1032.09   982.42  1077.62  1027.22   978.21  1026.92
Mark_105        2460459.35346   0.00289   0.00131    7.78   15.23  0.00278  0.00132  0.00077  0.00129  1032.36  1081.76  1032.70   982.30  1077.84  1027.23   978.49  1026.86
Mark_105        2460459.35369   0.00129   0.00131  -12.13   61.44  0.00118  0.00132 -0.00053  0.00128  1032.14  1081.52  1032.51   982.06  1078.31  1026.93   978.91  1026.62
Mark_105        2460459.35392   0.00259   0.00130  -16.90   17.35  0.00215  0.00131 -0.00144  0.00128  1031.63  1082.39  1032.09   982.85  1077.48  1027.71   977.96  1027.51
Mark_105        2460459.35422   0.00438   0.00130   21.65    9.03  0.00319  0.00131  0.00300  0.00128  1031.99  1081.04  1032.43   981.48  1077.51  1026.87   978.05  1026.50
Mark_105        2460459.35446   0.00472   0.00130  -13.25    8.34  0.00422  0.00131 -0.00210  0.00128  1031.04  1081.96  1031.50   982.40  1076.30  1027.62   976.84  1027.36
Mark_105        2460459.35469   0.00244   0.00130    5.84   18.90  0.00239  0.00130  0.00049  0.00128  1032.34  1082.19  1032.73   982.73  1077.77  1028.16   978.39  1027.84
