#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_198        2460459.29524   0.00600   0.00212   11.27   11.07  0.00555  0.00213  0.00230  0.00209  1030.89  1076.32  1031.33   976.75  1076.29  1021.88   976.91  1021.56
Mark_198        2460459.29552   0.00217   0.00207   39.66   61.44  0.00040  0.00212  0.00213  0.00207  1029.61  1075.41  1030.02   975.93  1075.61  1020.93   976.20  1020.67
Mark_198        2460459.29580   0.00143   0.00212   89.17   61.44 -0.00143  0.00212  0.00004  0.00208  1028.65  1082.18  1029.02   982.74  1074.84  1027.51   975.44  1027.21
Mark_198        2460459.29608   0.00158   0.00211  -20.08   61.44  0.00121  0.00213 -0.00102  0.00208  1028.15  1081.48  1028.48   981.95  1073.82  1027.12   974.45  1026.80
Mark_198        2460459.29635   0.00478   0.00213    9.88   14.79  0.00450  0.00214  0.00162  0.00209  1027.37  1080.44  1027.70   981.04  1072.97  1026.21   973.51  1025.90
Mark_198        2460459.29663   0.00603   0.00213   21.76   11.07  0.00437  0.00214  0.00415  0.00211  1026.84  1079.68  1027.24   980.17  1072.76  1025.40   973.33  1025.06
