#Filename  optimal_apeture
3_Mark_48_00_R_15.00_2024_05_29-22_20_54.fits   9.5
3_Mark_48_01_R_15.00_2024_05_29-22_21_25.fits   9.5
3_Mark_48_02_R_15.00_2024_05_29-22_21_50.fits   9.5
3_Mark_48_03_R_15.00_2024_05_29-22_22_15.fits   9.0
3_Mark_48_04_R_15.00_2024_05_29-22_22_40.fits   8.5
3_Mark_48_05_R_15.00_2024_05_29-22_23_05.fits   9.5
3_Mark_48_06_R_15.00_2024_05_29-22_23_30.fits   9.0
3_Mark_48_07_R_15.00_2024_05_29-22_23_55.fits   9.0
3_Mark_48_08_R_15.00_2024_05_29-22_24_23.fits   9.0
3_Mark_48_09_R_15.00_2024_05_29-22_24_48.fits   8.5
3_Mark_48_10_R_15.00_2024_05_29-22_25_13.fits   8.5
