#Filename  optimal_apeture
15_Mark_121_00_R_11.00_2024_05_29-19_56_31.fits   10.0
15_Mark_121_01_R_11.00_2024_05_29-19_56_52.fits   10.0
15_Mark_121_02_R_11.00_2024_05_29-19_57_13.fits   10.0
15_Mark_121_03_R_11.00_2024_05_29-19_57_34.fits   9.5
15_Mark_121_04_R_11.00_2024_05_29-19_57_55.fits   10.5
15_Mark_121_05_R_11.00_2024_05_29-19_58_16.fits   10.5
15_Mark_121_06_R_11.00_2024_05_29-19_58_58.fits   10.5
15_Mark_121_07_R_11.00_2024_05_29-19_59_36.fits   10.0
15_Mark_121_08_R_11.00_2024_05_29-19_59_56.fits   10.0
15_Mark_121_09_R_11.00_2024_05_29-20_00_18.fits   9.5
15_Mark_121_10_R_11.00_2024_05_29-20_00_39.fits   10.5
15_Mark_121_11_R_11.00_2024_05_29-20_01_00.fits   10.0
