#Filename  optimal_apeture
7_Mark_66_00_R_19.00_2024_05_29-22_08_43.fits   7.5
7_Mark_66_01_R_19.00_2024_05_29-22_09_11.fits   7.5
7_Mark_66_02_R_19.00_2024_05_29-22_09_41.fits   7.5
7_Mark_66_03_R_19.00_2024_05_29-22_10_10.fits   8.0
7_Mark_66_04_R_19.00_2024_05_29-22_11_09.fits   8.0
7_Mark_66_05_R_19.00_2024_05_29-22_13_25.fits   8.0
7_Mark_66_06_R_19.00_2024_05_29-22_13_54.fits   7.5
7_Mark_66_07_R_19.00_2024_05_29-22_14_23.fits   8.0
7_Mark_66_08_R_19.00_2024_05_29-22_14_52.fits   8.0
7_Mark_66_09_R_19.00_2024_05_29-22_15_21.fits   8.5
7_Mark_66_10_R_19.00_2024_05_29-22_15_50.fits   8.5
