#Filename  optimal_apeture
13_Mark_74_00_R_12.00_2024_05_28-21_26_58.fits   8.0
13_Mark_74_01_R_12.00_2024_05_28-21_27_21.fits   8.0
13_Mark_74_02_R_12.00_2024_05_28-21_27_42.fits   8.0
13_Mark_74_03_R_12.00_2024_05_28-21_28_05.fits   7.5
13_Mark_74_04_R_12.00_2024_05_28-21_28_27.fits   8.0
13_Mark_74_05_R_12.00_2024_05_28-21_28_49.fits   8.0
13_Mark_74_06_R_12.00_2024_05_28-21_29_11.fits   8.0
13_Mark_74_07_R_12.00_2024_05_28-21_29_33.fits   8.0
13_Mark_74_08_R_12.00_2024_05_28-21_30_00.fits   7.5
13_Mark_74_09_R_12.00_2024_05_28-21_30_22.fits   7.5
13_Mark_74_10_R_12.00_2024_05_28-21_30_44.fits   8.0
